Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,3.288,6.078,11.768,14.078,17.356,22.643,26.049,28.752,29.322,41.022,51.371,51.147,43.097,52.616,NaN,47.543,47.543,51.259,55.049,51.371,49.488,46.801,51.147,55.759,56.475,65.881,55.522,53.418,51.596,64.148,57.319,54.463,57.44,63.622,67.377,68.204,71.309,81.511,80.868,86.144,95.033,91.557,103.589,104.404,120.996,116.085,113.152
IRV,İSTANBUL PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.222,1.395,2.177,2.877,3.586,5.182,5.675,6.98,9.902,12.201,11.59,11.645,13.216,13.33,NaN,14.365,14.832,15.361,16.194,16.675,16.736,16.978,20.096,22.646,23.996,25.167,24.269,23.927,25.167,26.644,24.132,28.743,28.303,28.743,30.231,31.754,35.234,37.211,38.646,41.077,42.957,44.054,47.255,50.2,51.819,53.37,55.058
IVF,İSTANBUL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.909,11.774,18.113,25.834,30.299,39.55,44.761,46.356,48.457,58.76,78.111,79.486,78.91,88.2,NaN,78.567,78.339,82.18,85.695,74.547,70.391,66.428,66.726,67.427,72.178,87.567,73.462,66.329,60.865,77.206,64.564,57.239,61.891,65.148,66.826,69.152,78.453,95.585,96.965,104.619,119.764,121.332,129.523,135.329,154.189,151.895,149.866
IST,İSTANBUL PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,1.887,1.887,1.887,3.846,3.846,3.846,5.882,5.882,5.882,5.882,8.0,8.0,NaN,8.0,10.204,10.204,10.204,10.204,10.204,12.5,12.5,12.5,12.5,14.894,14.894,14.894,14.894,14.894,17.391,17.391,17.391,17.391,17.391,20.0,20.0,20.0,20.0,20.0,20.0,22.727,22.727,22.727,22.727,22.727,25.581
YCY,İSTANBUL PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,0.412,0.481,0.827,1.951,2.667,3.392,4.799,5.101,5.632,7.179,7.811,8.13,8.13,8.451,NaN,9.67,9.917,10.498,11.086,11.509,12.021,12.799,13.148,13.499,13.852,14.208,14.386,14.745,15.106,15.652,16.019,16.481,16.853,17.416,17.794,18.079,18.558,19.137,19.624,20.115,20.61,21.109,21.613,22.018,22.529,22.941,23.46
IMF,İSTANBUL PORTFÖY MAESTRO SERBEST FON,0.248,0.497,0.999,3.245,3.66,12.515,12.515,12.694,26.259,34.857,39.99,42.958,40.825,41.742,NaN,41.6,42.598,41.742,42.67,44.122,45.156,46.13,45.979,46.584,44.637,45.008,44.416,44.49,44.416,45.156,45.829,46.205,45.679,45.156,46.13,47.04,49.525,48.974,52.916,55.348,58.036,59.191,61.829,62.665,64.174,63.228,61.368
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,0.816,23.009,29.133,49.751,62.742,85.437,86.259,87.088,87.925,88.939,89.964,91.174,91.872,92.752,NaN,94.537,95.26,96.172,97.277,98.208,99.147,99.905,100.86,101.825,102.799,103.191,103.783,104.576,105.176,109.681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IRO,İSTANBUL PORTFÖY ROBOTİK TEKNOLOJİLERİ SERBEST FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,1.538,1.679,2.476,5.42,7.986,8.276,11.386,16.534,22.148,37.268,47.198,55.683,47.967,50.742,NaN,50.268,48.618,49.919,50.041,51.219,52.081,51.433,52.29,52.726,53.012,50.734,48.031,48.857,48.753,46.074,43.846,42.165,42.626,42.465,41.86,41.823,43.973,45.659,46.39,48.474,49.822,53.029,52.818,53.046,53.801,52.306,52.398
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),7.745,14.121,22.484,27.311,34.021,44.546,51.389,55.502,54.429,71.454,89.809,88.016,76.152,91.725,NaN,81.22,80.438,86.366,91.667,85.429,82.38,75.955,86.644,94.703,98.119,109.021,90.386,85.979,76.998,94.643,80.646,72.92,76.923,84.068,90.966,93.71,102.996,127.372,130.635,135.09,149.95,147.532,172.915,177.2,206.554,193.216,185.6
ARE,İSTANBUL PORTFÖY YABANCI (GELİŞMEKTE OLAN PİYASALAR) BORÇLANMA ARAÇLARI FONU,0.862,-0.847,0.0,1.739,5.405,6.364,9.346,18.182,20.619,34.483,40.964,42.683,44.444,44.444,NaN,48.101,46.25,46.25,48.101,51.948,51.948,50.0,50.0,50.0,50.0,48.101,44.444,46.25,46.25,48.101,51.948,51.948,51.948,51.948,51.948,50.0,56.0,58.108,62.5,67.143,69.565,72.059,72.059,67.143,67.143,62.5,60.274
TTA,İŞ PORTFÖY ALTIN FONU,-0.556,-1.648,-2.186,1.705,3.468,4.07,7.831,14.013,14.013,26.056,28.777,30.657,26.056,26.95,NaN,33.582,32.593,34.586,37.692,37.692,42.063,50.42,50.42,52.991,51.695,47.934,45.528,44.355,44.355,46.721,51.695,52.991,54.31,55.652,55.652,55.652,58.407,58.407,59.821,68.868,67.29,70.476,67.29,62.727,67.29,70.476,70.476
IBB,İŞ PORTFÖY ATAK DEĞİŞKEN FON,0.966,0.867,1.315,5.819,7.667,8.73,13.369,19.107,20.175,36.123,45.367,45.025,36.454,44.008,NaN,45.504,45.23,44.583,47.665,48.161,50.439,52.75,55.29,56.83,55.879,55.564,52.373,52.185,51.96,55.564,55.76,56.234,57.552,58.892,59.343,59.179,61.134,64.532,65.237,69.928,72.159,72.737,75.092,73.76,78.696,77.717,74.646
IPG,İŞ PORTFÖY ATAK FON SEPETİ FONU,0.134,-0.694,-0.72,2.59,5.408,5.497,8.574,13.958,15.121,27.631,32.68,33.155,32.444,34.307,NaN,36.224,35.087,35.48,37.736,37.736,39.647,41.991,43.413,44.695,44.358,44.47,40.226,40.544,39.857,42.917,43.247,43.082,43.634,43.912,44.358,44.751,46.922,49.94,52.083,55.839,57.288,58.628,61.518,60.89,64.953,65.027,63.433
IUV,İŞ PORTFÖY BEŞİNCİ SERBEST (DÖVİZ)  FON,0.392,0.607,1.201,4.508,6.02,7.042,9.605,16.808,18.342,34.496,43.819,44.836,41.797,43.193,NaN,42.751,42.78,43.761,44.464,45.565,46.585,47.864,49.141,49.515,49.796,49.507,48.831,49.281,49.546,49.507,49.46,49.898,50.197,50.607,50.623,51.052,52.434,53.611,54.756,55.495,56.36,57.521,57.842,57.903,58.69,59.849,60.764
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),9.091,12.821,25.714,21.659,35.385,36.788,38.947,41.935,43.478,51.724,78.378,77.181,41.935,77.181,NaN,56.213,56.213,62.963,60.976,59.036,56.213,49.153,72.549,85.915,83.333,103.077,83.333,80.822,61.963,82.069,61.963,52.601,50.0,54.386,73.684,74.834,76.0,83.333,98.496,104.651,106.25,94.118,120.0,129.565,153.846,151.429,120.0
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.247,6.557,11.247,20.053,25.691,37.462,41.745,42.188,43.082,56.357,74.33,76.357,79.842,80.556,NaN,54.237,51.163,53.716,54.762,46.774,44.444,39.144,42.633,47.249,54.237,59.091,44.444,37.879,28.169,37.879,25.344,17.571,19.737,18.799,21.333,23.641,25.344,40.432,49.671,53.199,63.669,60.777,84.211,96.121,107.763,104.955,98.69
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.751,14.725,21.349,32.891,42.548,54.957,62.35,62.72,62.139,69.732,90.77,91.062,93.576,99.045,NaN,80.839,77.881,81.166,84.032,75.324,72.9,69.101,73.862,76.687,85.672,95.85,80.122,72.781,59.35,71.067,55.874,45.112,43.612,45.365,48.869,49.002,57.444,70.892,88.257,107.552,127.054,124.809,148.608,167.916,196.327,197.031,202.236
TIE,İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.058,7.485,14.331,16.938,20.875,28.674,31.985,34.457,31.022,44.758,60.987,63.927,52.766,66.977,NaN,48.347,45.935,51.477,54.741,49.583,47.737,40.234,45.935,50.209,48.347,66.204,50.84,44.758,38.61,52.766,43.6,40.234,41.897,48.963,54.741,55.411,58.15,70.142,72.596,82.234,97.253,93.011,108.721,111.176,136.184,130.128,122.981
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,0.278,0.721,1.452,4.641,6.369,7.148,9.838,16.783,18.502,34.349,44.064,45.844,42.377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,-1.751,-3.043,-1.413,0.467,5.304,7.586,10.299,14.66,18.558,32.699,42.204,43.628,44.271,46.731,NaN,43.868,43.15,44.513,44.513,47.066,49.191,49.971,47.233,48.847,47.149,45.984,41.58,44.675,46.731,47.654,52.993,54.643,55.295,54.366,51.378,51.467,52.993,55.388,60.71,72.296,72.642,78.988,77.51,75.698,80.363,75.937,69.357
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,0.855,0.92,1.387,4.965,6.377,7.124,10.397,16.537,18.915,32.404,39.973,38.373,33.53,39.118,NaN,41.232,41.427,41.074,43.298,43.933,45.853,47.704,49.842,50.994,50.779,50.158,48.138,47.897,47.737,50.172,50.751,51.559,52.425,54.31,56.057,56.28,57.882,60.288,61.083,64.598,66.283,67.088,67.84,67.377,70.58,69.917,67.668
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,0.244,0.203,0.325,3.654,5.605,5.968,8.77,13.367,14.578,26.955,31.838,32.903,32.617,34.203,NaN,35.604,35.159,36.656,38.031,38.652,40.387,43.572,44.327,45.433,45.262,45.519,42.248,42.741,42.412,44.666,45.006,45.176,45.949,46.382,46.817,47.255,49.395,51.504,54.637,58.51,59.948,61.097,63.012,62.904,65.526,65.972,64.973
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,-2.165,-4.239,-2.319,-1.467,5.163,5.297,7.343,9.471,13.419,25.442,34.179,31.76,33.746,36.239,NaN,32.888,31.551,33.459,34.035,36.09,38.44,41.595,40.158,43.559,39.528,40.316,35.867,35.422,38.44,41.354,42.244,44.309,44.729,46.263,43.393,45.407,48.713,50.06,55.604,60.116,61.05,63.379,63.81,60.53,65.446,63.594,58.18
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,-3.149,-4.569,-3.089,-2.259,2.406,5.422,7.893,10.652,16.566,32.917,41.466,42.181,44.424,49.867,NaN,45.869,45.977,49.298,44.663,50.439,51.686,48.819,45.116,47.095,42.413,42.619,38.505,42.413,50.554,51.715,61.485,63.769,62.384,57.197,53.969,51.89,53.909,53.909,52.597,61.584,62.753,69.881,68.428,63.939,66.223,61.352,55.428
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,0.862,0.862,2.632,6.364,10.377,11.429,15.842,20.619,21.875,39.286,44.444,42.683,44.444,44.444,NaN,36.047,36.047,37.647,40.964,44.444,44.444,42.683,37.647,40.964,40.964,36.047,34.483,28.571,27.174,30.0,37.647,31.461,32.955,32.955,32.955,30.0,32.955,34.483,30.0,34.483,37.647,40.964,36.047,34.483,39.286,40.964,36.047
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,0.385,0.479,1.096,4.522,6.636,7.384,10.632,17.445,19.218,36.196,45.538,47.395,43.259,45.004,NaN,45.01,44.528,45.76,46.311,47.044,48.401,50.058,51.438,51.83,52.079,51.12,49.669,50.758,51.139,51.237,51.23,51.471,51.621,52.118,52.131,52.527,53.792,55.181,55.606,56.2,56.895,58.348,58.863,58.92,59.51,61.108,61.893
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,-2.356,-4.729,-7.138,-4.163,2.799,6.459,8.125,8.896,9.762,23.028,30.617,30.853,28.533,20.373,NaN,25.259,21.686,27.91,35.308,39.07,46.22,59.483,54.885,53.168,52.765,48.465,39.471,37.098,36.197,36.582,38.804,37.619,38.406,43.259,41.443,43.827,50.233,52.444,50.078,64.177,66.533,75.181,71.454,57.921,69.155,67.591,73.194
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.23,11.622,18.431,25.171,29.365,39.363,44.803,48.994,47.865,62.824,79.451,76.315,66.103,80.619,NaN,67.66,65.494,70.648,76.265,72.243,69.469,65.46,74.004,79.881,81.859,95.588,76.918,71.422,63.141,80.492,65.88,59.828,63.238,69.244,75.879,78.033,86.077,102.152,104.511,111.708,127.691,122.75,141.124,147.114,175.889,168.902,164.141
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.162,6.092,10.926,16.641,19.599,27.765,33.412,34.762,31.475,41.235,56.03,55.923,58.101,64.177,NaN,50.732,51.135,58.101,58.322,52.048,48.654,43.929,47.396,48.752,58.211,78.127,70.482,65.618,56.354,70.739,58.655,50.033,53.18,58.101,62.294,60.454,70.354,90.412,93.339,100.0,112.782,116.444,127.996,NaN,NaN,NaN,NaN
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),7.676,22.837,29.212,38.473,47.46,55.435,60.705,61.864,57.579,69.241,89.228,90.104,67.404,93.352,NaN,73.314,71.049,75.45,75.441,65.008,58.602,54.241,69.207,76.733,78.041,94.035,74.61,73.005,58.955,80.912,64.93,59.908,61.73,63.791,77.762,81.61,82.905,104.567,112.255,119.512,125.144,126.018,152.141,151.964,171.381,152.313,113.98
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),7.501,14.47,21.716,28.256,34.199,43.909,48.413,52.568,51.532,67.117,83.073,79.792,66.876,84.047,NaN,70.703,69.242,74.358,80.26,75.953,71.804,67.238,76.132,83.025,83.851,97.489,78.448,74.402,66.635,84.292,70.325,65.085,68.255,74.402,81.442,82.59,90.269,104.793,107.805,118.016,135.282,130.964,152.628,157.323,188.297,180.925,173.922
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,0.0,1.515,1.515,1.515,3.077,3.077,4.688,4.688,4.688,4.688,6.349,6.349,6.349,6.349,NaN,8.065,8.065,8.065,9.836,9.836,9.836,9.836,9.836,11.667,11.667,11.667,11.667,11.667,13.559,13.559,13.559,13.559,13.559,15.517,15.517,15.517,15.517,17.544,17.544,17.544,17.544,19.643,19.643,19.643,21.818,21.818,21.818
FBV,İŞ PORTFÖY MODEL SERBEST FON,-0.905,-1.311,1.688,4.016,8.124,9.65,13.579,15.484,17.973,33.02,41.208,39.814,40.63,42.208,NaN,38.052,36.797,38.369,40.63,43.735,43.821,43.564,44.165,45.383,45.383,45.471,43.564,41.125,42.798,45.559,50.468,52.468,52.468,53.537,52.468,53.537,57.451,59.115,61.895,69.171,70.368,74.946,71.337,68.344,72.936,71.215,67.524
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,0.279,0.437,0.685,3.658,4.159,5.092,7.543,14.976,16.168,30.617,36.478,37.84,39.25,39.963,NaN,40.792,41.199,42.161,42.249,43.218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TI6,İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.455,0.979,1.459,2.711,3.189,4.297,4.859,7.053,9.552,11.085,11.183,11.113,12.647,12.399,NaN,12.702,12.817,13.151,13.381,13.583,14.171,13.513,13.785,14.307,15.241,15.882,16.853,17.173,17.596,17.912,18.082,17.969,18.141,19.822,22.004,21.796,22.211,23.983,24.4,23.441,23.995,24.838,26.112,26.279,26.551,26.922,27.579
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.833,0.833,1.681,1.681,2.542,2.542,3.419,5.217,5.217,6.14,6.14,7.08,8.036,8.036,NaN,9.009,9.009,10.0,10.0,11.009,11.009,12.037,12.037,13.084,13.084,13.084,14.151,14.151,15.238,15.238,15.238,16.346,16.346,17.476,17.476,18.627,18.627,18.627,19.802,19.802,19.802,21.0,21.0,21.0,22.222,22.222,22.222
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,1.836,2.11,2.311,7.298,9.731,9.414,11.705,17.809,20.609,34.573,41.579,41.147,39.304,40.574,NaN,40.148,38.654,41.579,45.693,49.569,48.926,51.034,49.838,48.98,48.237,48.289,45.898,45.286,44.68,45.591,45.337,44.831,45.49,45.54,44.379,45.286,46.772,51.144,51.585,55.726,54.512,62.096,60.347,61.592,64.466,66.241,62.096
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,0.375,0.556,1.154,4.393,5.82,6.739,9.304,16.495,17.991,33.616,42.435,44.449,41.762,43.072,NaN,42.688,42.588,43.625,44.225,45.177,46.353,47.787,49.211,49.632,49.885,49.69,48.845,49.295,49.547,49.547,49.444,49.787,50.139,50.322,50.342,50.624,51.35,52.305,53.183,53.537,54.092,54.852,55.27,55.242,55.859,57.573,58.39
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,2.224,2.446,4.869,8.899,14.247,19.423,22.132,22.929,28.416,41.798,53.025,57.765,61.829,70.775,NaN,56.196,55.039,56.911,56.976,57.107,57.765,57.501,56.715,58.029,57.435,59.501,53.087,56.455,57.304,62.317,59.231,53.461,54.088,51.426,50.881,50.639,50.7,57.699,67.586,77.615,75.139,82.165,88.074,84.936,92.1,91.807,84.755
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IJT,İŞ PORTFÖY TARIM SERBEST FON,1.09,2.674,4.194,11.238,15.567,15.427,17.387,23.409,28.369,44.745,50.953,49.587,40.207,48.361,NaN,45.243,47.841,49.117,51.979,56.613,51.073,52.223,57.783,57.587,59.706,63.414,58.243,57.131,54.136,58.573,52.896,49.0,50.714,52.467,56.163,56.163,56.936,62.575,62.09,62.02,68.111,68.409,71.216,72.93,79.801,75.728,77.866
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,0.493,-1.145,0.899,4.518,7.266,12.425,16.149,21.232,26.209,44.216,52.653,54.015,55.509,56.05,NaN,54.439,54.652,57.584,59.488,63.438,61.323,57.806,55.402,59.602,56.704,58.028,52.965,57.917,58.14,61.091,66.592,67.838,66.222,65.0,64.155,63.081,67.213,70.0,69.871,79.233,80.241,87.782,87.782,91.141,98.584,96.842,86.689
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,-2.083,-3.538,-2.431,-0.805,3.506,4.812,7.235,11.243,16.049,28.814,37.702,42.766,44.382,49.394,NaN,48.957,48.648,49.644,50.337,52.911,54.632,60.467,60.036,62.143,58.685,58.544,55.44,60.179,66.449,67.7,74.499,75.098,74.585,69.772,67.15,65.294,66.76,67.307,70.746,81.136,74.927,79.95,79.588,76.395,79.407,78.689,74.074
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,1.613,1.613,1.613,3.279,5.0,6.78,8.621,14.545,18.868,26.0,26.0,23.529,26.0,26.0,NaN,28.571,28.571,28.571,28.571,31.25,31.25,31.25,31.25,34.043,34.043,34.043,34.043,36.957,36.957,40.0,40.0,43.182,43.182,43.182,43.182,43.182,43.182,46.512,46.512,46.512,46.512,46.512,50.0,50.0,50.0,50.0,50.0
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,0.589,0.827,1.462,4.399,4.983,5.671,7.793,13.211,14.771,25.97,30.166,29.842,28.145,30.093,NaN,32.857,31.523,33.481,34.71,36.766,37.847,38.628,39.776,40.633,41.188,40.162,39.075,40.047,39.78,41.22,41.611,41.612,42.113,44.396,46.033,45.92,46.995,47.996,48.816,50.585,50.798,51.52,52.063,51.991,53.933,54.078,53.708
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,0.429,0.705,0.902,3.541,5.106,5.149,7.387,11.578,13.348,22.699,25.881,26.313,27.692,28.393,NaN,30.213,29.818,31.142,32.629,32.629,33.941,35.85,36.499,37.447,37.889,38.557,36.935,37.889,37.741,39.761,40.294,40.909,41.607,42.233,43.583,43.984,45.779,46.693,48.471,50.998,51.621,52.429,53.155,53.246,54.627,55.187,55.093
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK SERBEST FON,1.355,1.269,1.872,5.742,7.354,9.315,13.031,19.58,20.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,0.0,0.373,0.373,3.462,3.861,5.078,7.171,14.957,15.948,30.583,35.859,37.245,37.949,37.949,NaN,38.66,38.66,39.378,40.104,40.838,41.579,42.328,43.085,43.085,43.085,43.085,43.085,43.085,43.085,43.085,43.85,44.624,44.624,44.624,44.624,45.405,45.405,45.405,47.802,49.444,48.619,51.977,49.444,48.619,49.444,48.619,47.802
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,-1.875,-3.681,-2.484,-0.212,3.289,3.974,6.321,11.085,15.159,30.11,38.529,39.349,41.867,44.923,NaN,45.37,44.923,47.187,48.58,54.426,55.446,59.661,59.122,60.204,56.478,56.478,53.922,57.0,61.856,61.301,68.214,68.214,68.214,65.845,62.976,60.751,61.301,62.414,64.685,74.444,70.036,76.404,75.746,75.746,79.087,77.068,71.898
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,-1.601,-2.833,-1.117,0.068,7.481,13.316,16.847,17.717,19.919,34.867,47.01,53.86,61.851,67.234,NaN,50.921,49.342,50.459,46.62,47.549,48.79,49.342,51.334,55.046,53.273,56.859,50.869,54.72,57.138,63.646,68.059,67.995,66.981,62.624,60.968,63.889,66.104,74.763,82.7,100.589,110.114,119.168,118.843,113.975,124.164,123.259,114.182
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,0.936,0.858,-0.093,2.278,7.146,7.876,10.768,17.712,21.076,35.729,44.202,43.699,38.632,38.371,NaN,38.959,37.579,39.889,40.912,43.493,45.894,47.569,48.143,48.326,47.714,46.484,43.699,44.631,45.33,45.113,49.632,47.881,49.009,48.899,49.766,50.418,52.654,53.762,56.02,63.865,60.012,64.88,65.688,65.024,65.415,67.422,65.406
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,-1.059,-3.414,-4.134,-0.963,3.664,3.943,6.676,8.975,11.255,23.459,30.017,28.393,27.438,30.567,NaN,28.393,26.653,29.308,29.743,34.614,34.204,32.077,33.449,34.087,31.851,32.304,28.393,28.393,27.808,27.333,34.029,33.449,34.204,32.361,33.218,32.759,32.874,36.34,39.044,46.369,48.698,54.586,54.742,51.176,53.357,50.366,43.575
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,0.0,0.0,0.0,2.174,2.174,2.174,4.444,4.444,4.444,6.818,6.818,9.302,9.302,9.302,NaN,11.905,11.905,11.905,11.905,11.905,14.634,14.634,14.634,14.634,14.634,14.634,17.5,17.5,17.5,17.5,17.5,17.5,20.513,20.513,20.513,20.513,20.513,23.684,23.684,23.684,23.684,23.684,27.027,27.027,27.027,27.027,27.027
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,3.809,5.59,8.651,12.885,14.821,16.058,18.716,25.844,25.867,41.262,47.487,47.866,35.17,41.175,NaN,40.256,39.745,41.872,42.961,44.066,42.695,38.76,45.403,49.307,50.022,54.492,49.534,45.895,40.8,49.957,42.4,40.714,43.347,46.422,51.074,50.087,52.208,60.498,61.703,63.971,69.452,68.664,77.341,77.89,84.655,82.504,80.403
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,-0.656,-0.98,0.0,3.413,5.944,7.829,10.584,16.538,19.291,34.667,41.589,42.925,43.602,44.976,NaN,44.286,44.286,46.377,46.377,50.0,50.746,48.529,46.377,47.805,45.673,46.377,44.976,46.377,49.261,50.0,52.261,54.592,56.186,56.186,54.592,53.03,53.03,55.385,56.186,61.17,62.032,64.674,66.484,66.484,67.403,65.574,61.17
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),4.887,8.772,16.25,21.569,25.676,34.135,38.462,43.445,41.624,56.742,73.292,69.605,48.404,69.091,NaN,54.571,52.459,57.627,61.739,58.523,55.432,46.842,55.0,58.974,60.807,77.707,64.118,58.074,48.8,63.636,48.011,41.624,43.814,48.404,57.627,57.627,61.272,77.707,78.275,82.951,92.414,90.444,108.989,111.364,134.454,125.911,124.096
KPP,KARE PORTFÖY PARA PİYASASI FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
