Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,1.117,-1.63,-1.63,2.841,7.101,5.233,7.738,13.836,18.301,32.117,42.52,39.231,39.231,39.231,NaN,39.231,41.406,43.651,47.154,52.101,54.701,56.034,49.587,48.361,42.52,42.52,41.406,41.406,42.52,41.406,43.651,44.8,44.8,44.8,44.8,42.52,49.587,52.101,52.101,57.391,56.034,69.159,72.381,70.755,74.038,72.381,63.063
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,0.319,1.947,4.664,14.588,24.386,24.092,27.62,31.575,33.93,48.91,58.847,57.257,58.527,57.415,NaN,47.789,46.412,50.479,47.65,49.051,47.512,41.915,37.566,42.301,43.733,43.601,38.414,36.49,33.93,37.445,36.253,33.249,33.136,36.966,34.044,32.798,34.044,43.47,42.948,46.822,48.068,53.268,NaN,NaN,NaN,NaN,NaN
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.604,4.397,8.48,14.358,20.674,30.912,34.697,34.624,34.992,42.799,59.188,57.562,61.162,65.372,NaN,45.321,40.764,45.836,46.181,41.409,37.319,37.014,40.925,43.965,52.032,57.061,42.06,34.624,24.32,35.883,21.566,12.637,12.432,12.946,16.352,18.36,21.926,36.635,46.008,51.102,63.078,66.375,76.106,88.33,102.377,99.596,98.313
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,1.298,-1.735,-1.043,3.142,5.975,8.697,14.621,18.529,23.88,40.088,53.028,53.698,58.127,56.297,NaN,52.431,51.969,55.743,55.398,61.918,61.62,52.829,49.383,52.962,52.629,58.484,48.751,50.665,50.407,57.277,64.728,70.155,68.765,67.318,62.743,60.146,66.841,72.665,67.477,80.287,82.158,86.908,98.867,103.358,114.539,109.547,93.926
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,-0.92,-0.92,-2.711,-4.72,-5.831,-4.72,-4.72,-4.438,-4.72,-11.264,-15.666,-14.324,2.215,-1.824,NaN,-2.417,-2.711,-8.757,-9.27,-6.916,-9.27,-11.989,-12.938,-12.703,-12.466,-10.773,-10.028,-10.278,-13.172,-11.264,-12.938,-11.749,-12.703,-10.028,-9.014,-8.239,-6.377,-4.154,-1.824,-2.121,-2.711,-4.72,0.937,-0.615,-1.223,-2.711,-2.121
ODV,AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,0.941,1.561,4.502,7.24,11.334,12.919,16.176,19.682,21.072,34.934,46.941,47.31,37.842,45.369,NaN,41.295,40.022,43.021,44.459,44.104,45.453,45.648,47.168,50.306,50.455,53.922,47.797,45.983,43.128,48.026,44.816,43.371,44.432,45.592,46.517,46.067,49.951,53.953,54.297,59.301,61.669,63.685,67.098,66.368,71.696,71.002,69.14
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,0.504,1.07,1.643,2.281,2.867,3.52,4.121,4.851,5.467,6.091,6.659,7.297,7.812,8.399,NaN,9.524,9.994,10.536,11.084,11.567,12.125,12.618,13.115,13.688,14.195,14.706,15.148,15.667,16.192,16.645,17.102,17.562,18.104,18.572,19.044,19.6,20.08,20.565,20.971,21.462,21.875,22.29,22.793,23.299,23.724,24.152,24.67
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,-2.685,-4.918,-2.027,-2.027,3.571,4.317,7.807,12.403,18.367,34.259,44.279,50.259,58.47,57.609,NaN,59.341,55.914,55.08,53.439,60.221,66.667,75.758,67.63,74.699,67.63,66.667,62.011,66.667,75.758,77.914,89.542,98.63,100.0,95.946,88.312,83.544,92.053,90.789,93.333,111.679,104.225,101.389,111.679,101.389,104.225,100.0,90.789
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,0.602,1.267,1.885,2.624,3.316,4.077,4.789,5.572,6.304,7.047,7.801,8.501,9.21,10.192,NaN,10.923,11.394,11.733,12.21,12.623,13.038,13.457,13.949,14.446,14.875,15.38,15.816,16.182,16.624,17.07,17.519,17.972,18.504,18.887,19.351,19.739,20.209,20.604,21.08,21.481,21.722,22.207,22.697,23.108,23.522,23.938,24.357
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,0.68,0.488,-0.667,1.382,4.996,6.72,9.487,16.717,19.167,34.197,37.482,39.712,42.273,41.276,NaN,41.075,37.704,40.262,45.575,47.807,46.43,45.908,46.019,50.24,48.71,47.857,45.375,45.873,46.619,45.845,51.532,49.866,51.01,53.236,55.237,52.709,56.713,54.791,59.376,66.309,62.183,64.78,67.38,64.374,64.665,66.309,63.97
