Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
GKH,GARANTİ PORTFÖY  KATILIM SERBEST (TL) FON,0.639,1.358,1.941,2.605,3.277,4.035,4.727,5.271,5.979,6.617,7.1,7.751,8.41,9.077,9.752,10.436,11.303,12.361,13.349,14.263,15.191,16.039,20.169,20.271,20.681,20.476,NaN,21.197,21.612,22.347,22.877,23.412,23.843,24.168,24.934,25.598,26.157,27.175,27.633,27.748,28.442,29.616,29.973,30.571,31.054,31.418,32.153,32.523,33.146,33.648,34.153,34.535,35.176,35.694,36.084,37.005,37.403,38.072,38.477
TGA,GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON,1.02,3.125,-1.0,-3.415,-1.0,1.538,2.591,0.508,3.125,5.882,8.791,7.027,11.864,13.793,18.563,24.528,28.571,35.616,39.437,42.446,43.478,53.488,62.295,58.4,53.488,65.0,NaN,54.688,55.906,59.677,60.976,59.677,57.143,53.488,58.4,62.295,65.0,72.174,63.636,59.677,53.488,69.231,59.677,55.906,57.143,60.976,67.797,67.797,73.684,85.047,88.571,94.118,104.124,102.041,115.217,120.0,132.941,127.586,125.0
GTA,GARANTİ PORTFÖY ALTIN FONU,0.416,0.835,6.388,10.78,9.276,7.333,8.296,8.054,7.572,8.296,7.333,7.572,6.623,5.689,5.0,9.773,11.547,11.806,15.0,20.149,21.053,34.916,39.595,38.793,36.056,34.167,NaN,42.478,39.595,42.899,45.921,46.364,51.411,59.406,58.882,61.538,61.0,57.329,54.313,53.333,52.848,55.305,59.934,61.0,63.729,64.846,64.286,63.729,67.708,67.128,68.881,78.889,76.923,80.899,76.923,71.886,76.923,79.554,80.224
GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,0.726,1.414,2.111,2.818,3.534,4.261,4.997,5.691,6.394,6.996,7.605,8.164,8.73,9.301,9.937,10.521,11.289,12.129,12.921,13.786,14.664,15.556,16.331,17.051,17.714,18.384,NaN,19.747,20.37,21.001,21.637,22.281,22.859,23.442,24.031,24.7,25.301,25.908,26.444,27.062,27.686,28.237,28.793,29.353,29.919,30.408,30.9,31.396,31.98,32.484,32.992,33.504,34.021,34.454,34.977,35.505,36.037,36.483,37.022
GOH,GARANTİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-3.632,0.897,-4.591,-11.143,-7.621,-1.102,5.265,0.764,7.259,14.852,17.034,20.1,24.568,34.669,38.38,50.984,56.88,68.808,77.322,78.41,73.209,83.453,101.939,101.408,106.486,111.825,NaN,91.619,89.255,94.446,96.346,87.156,82.659,78.864,85.878,92.538,104.137,115.78,101.12,92.538,78.94,93.776,80.047,66.443,65.919,66.739,69.861,73.173,83.095,103.301,115.285,129.578,147.274,149.247,173.219,189.533,215.52,215.049,227.778
GPB,GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.871,1.509,2.181,2.432,2.938,3.525,3.938,4.354,5.091,5.757,5.891,6.513,7.364,7.613,8.537,9.334,10.493,12.067,13.039,15.13,15.289,21.362,23.849,23.96,22.108,23.812,NaN,24.738,24.963,25.263,25.64,26.058,26.44,27.018,27.797,28.111,28.308,28.466,28.387,27.679,27.718,28.783,28.823,28.505,29.102,29.222,29.503,29.543,30.435,31.67,32.171,32.803,33.525,33.868,35.126,35.302,35.875,36.052,36.319
GZP,GARANTİ PORTFÖY BİRİNCİ FON SEPETİ FONU,1.429,2.158,1.711,2.117,2.322,3.44,4.284,3.692,5.012,6.456,6.279,6.279,7.621,8.673,10.889,13.449,16.182,17.625,19.607,23.3,24.44,35.167,41.607,41.685,36.758,39.748,NaN,39.596,39.368,40.362,40.904,41.372,42.396,43.113,43.838,45.392,45.641,46.476,44.407,42.634,41.764,46.057,44.407,43.033,44.081,44.816,45.974,45.227,47.405,51.153,52.415,54.815,56.426,57.292,61.059,61.364,63.218,62.492,63.218
GBH,GARANTİ PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.664,3.943,-2.204,-5.556,-1.782,4.42,3.943,-1.622,3.588,5.879,9.315,7.126,14.619,19.829,30.208,38.117,43.794,54.809,58.312,65.213,61.977,78.508,94.754,93.1,79.743,97.503,NaN,83.367,83.367,86.564,86.756,86.756,86.182,80.815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GPF,GARANTİ PORTFÖY BİRİNCİ KATILIM FONU,0.493,1.465,2.184,2.607,2.974,3.714,4.559,4.622,5.419,6.227,6.784,7.313,8.253,8.968,9.589,10.639,11.53,12.801,14.177,16.052,16.482,20.494,22.541,22.714,22.758,23.326,NaN,23.989,23.944,24.973,25.881,25.881,26.525,27.176,27.41,27.975,28.736,29.7,29.506,29.749,30.63,32.327,32.58,32.784,33.295,33.862,34.381,34.852,35.432,35.911,36.446,37.04,37.639,38.354,38.965,39.525,40.202,40.887,42.101
GPL,GARANTİ PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.84,1.445,2.331,3.072,3.809,4.907,5.639,6.168,6.741,7.899,5.34,5.604,5.858,5.97,6.203,9.303,9.803,10.774,13.345,21.137,22.29,37.543,43.77,45.229,46.755,47.507,NaN,48.374,48.791,49.657,50.362,51.357,51.895,52.301,53.015,53.112,53.354,53.63,53.841,53.996,54.143,54.364,54.52,55.023,55.421,55.754,55.871,56.022,56.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GAE,GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.469,2.392,-4.889,-8.547,-7.759,-3.604,-2.727,-7.759,-4.889,-1.835,0.469,-3.167,0.943,3.883,10.881,13.83,17.582,25.146,28.144,30.488,27.381,40.789,56.204,59.701,47.586,62.121,NaN,44.595,41.722,47.586,50.704,45.578,43.624,37.179,42.667,46.575,44.595,62.121,46.575,41.722,34.591,48.611,39.869,37.179,38.065,45.578,51.773,52.857,53.957,64.615,67.188,75.41,91.071,86.087,101.887,103.81,130.108,122.917,118.367
