Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks
TTE,İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.189,6.518,-1.038,-6.536,-2.055,2.509,10.425,8.745,16.497,27.111,27.394,25.714,28.539,33.958,39.853,50.923,58.011,72.81,78.193,78.75,79.874,96.564,119.157,121.705,126.087,126.984,NaN,93.898,90.033,93.243,94.558,84.516,81.587,74.924,79.31,85.113,93.898,100.0,81.587,73.333,61.127,73.333,57.576,47.804,50.526,49.347,52.533,55.435,57.576,76.543,88.158,92.593,105.755,102.12,131.579,146.552,161.187,157.658,149.782
IDH,İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-3.568,0.938,-4.943,-11.853,-6.82,-0.519,4.944,0.938,9.436,13.78,19.011,22.651,29.704,40.711,48.836,62.991,74.836,90.056,99.124,99.577,98.865,108.178,133.982,134.339,137.423,144.131,NaN,121.8,118.172,122.202,125.717,115.037,112.064,107.404,113.243,116.708,127.728,140.211,120.922,111.917,95.444,109.815,91.181,77.981,76.141,78.291,82.589,82.752,93.107,109.6,130.9,154.564,178.484,175.73,204.92,228.602,263.448,264.311,270.695
TIE,İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.578,2.959,-4.396,-8.179,-7.937,-3.601,-2.793,-7.447,-4.658,-1.695,0.578,-3.064,0.87,4.192,10.828,13.355,17.172,24.731,27.941,30.337,27.007,40.323,56.054,58.904,48.085,61.86,NaN,43.802,41.463,46.835,50.0,45.0,43.21,35.937,41.463,45.607,43.802,61.111,46.218,40.323,34.363,48.085,39.2,35.937,37.549,44.398,50.0,50.649,53.304,64.929,67.308,76.65,91.209,87.097,102.326,104.706,128.947,123.077,116.149
CKS,İŞ PORTFÖY BİRİNCİ KATILIM SERBEST (DÖVİZ) FON,1.819,2.701,3.447,4.569,4.507,5.485,6.174,6.382,7.018,8.361,6.594,6.397,6.693,7.164,7.942,11.335,13.174,14.002,16.864,24.254,26.083,42.943,53.28,55.174,51.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IJP,İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,4.747,4.829,2.181,3.972,3.009,4.747,3.328,3.248,2.97,6.886,6.459,3.448,1.637,0.301,1.986,3.931,8.935,11.296,14.103,18.614,22.646,37.275,47.107,48.581,49.245,51.791,NaN,48.829,48.087,49.496,49.496,52.137,54.335,55.142,52.31,53.979,52.223,51.018,46.462,49.664,51.791,52.746,58.269,59.976,60.65,59.689,56.598,56.69,58.269,60.747,66.252,78.238,78.595,85.16,83.631,81.756,86.583,82.004,75.197
TI7,İŞ PORTFÖY DENGELİ DEĞİŞKEN FON,2.176,3.358,1.77,3.716,2.508,2.97,4.208,4.186,4.161,5.461,4.612,3.767,4.654,4.721,5.207,8.919,10.385,11.159,14.555,20.927,23.394,37.392,45.246,43.586,38.56,44.359,NaN,46.552,46.754,46.388,48.696,49.355,51.347,53.268,55.487,56.682,56.459,55.814,53.718,53.469,53.303,55.829,56.43,57.268,58.167,60.123,61.936,62.167,63.829,66.326,67.151,70.799,72.547,73.382,74.162,73.683,77.005,76.318,73.984
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,2.217,2.91,2.257,4.832,3.28,4.029,4.281,4.197,4.323,6.255,4.917,4.619,4.874,4.832,4.959,8.442,10.484,10.863,13.795,18.604,19.87,32.819,37.927,39.041,38.743,40.402,NaN,41.868,41.402,42.968,44.407,45.056,46.871,50.204,50.994,52.151,51.972,52.241,48.818,49.335,48.99,51.348,51.704,51.882,52.691,53.144,53.599,54.057,56.295,58.502,61.779,65.832,67.336,68.538,70.542,70.429,73.172,73.638,72.594
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,4.219,4.132,1.271,2.874,1.396,2.32,0.162,-0.363,-1.358,3.003,2.447,-0.604,-2.756,-4.817,-2.909,-2.062,4.528,4.661,6.695,8.811,12.734,24.685,33.369,30.965,32.939,35.417,NaN,32.086,30.757,32.653,33.225,35.268,37.604,40.741,39.312,42.692,38.686,39.469,35.046,34.605,37.604,40.501,41.385,43.438,43.856,45.38,42.527,44.529,47.816,49.155,54.665,59.149,60.078,62.393,62.821,59.561,64.447,62.607,57.225
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,2.691,1.966,-2.528,0.409,-3.016,-2.412,-4.673,-3.398,-5.14,-1.3,-2.243,-6.477,-9.422,-10.75,-9.366,-8.59,-4.227,-1.406,0.904,3.485,9.016,24.308,32.303,32.972,35.07,40.16,NaN,36.421,36.522,39.628,35.293,40.695,41.861,39.18,35.717,37.568,33.189,33.382,29.534,33.189,40.803,41.888,51.025,53.161,51.866,47.015,43.997,42.052,43.941,43.941,42.713,51.118,52.212,58.878,57.519,53.321,55.457,50.902,45.361
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,0.82,1.653,3.361,6.034,3.361,5.128,4.237,6.957,5.128,8.85,6.957,5.128,6.034,6.034,7.895,11.818,16.038,17.143,21.782,26.804,28.125,46.429,51.852,50.0,51.852,51.852,NaN,43.023,43.023,44.706,48.193,51.852,51.852,50.0,44.706,48.193,48.193,43.023,41.379,35.165,33.696,36.667,44.706,38.202,39.773,39.773,39.773,36.667,39.773,41.379,36.667,41.379,44.706,48.193,43.023,41.379,46.429,48.193,43.023
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,1.543,2.561,3.436,4.844,5.041,5.917,6.903,7.11,7.349,8.537,6.875,6.666,7.076,7.177,7.836,11.49,13.745,14.542,18.007,25.274,27.165,45.275,55.239,57.221,52.808,54.67,NaN,54.677,54.163,55.477,56.065,56.846,58.294,60.06,61.533,61.951,62.217,61.194,59.646,60.807,61.214,61.318,61.311,61.568,61.728,62.259,62.273,62.694,64.044,65.526,65.979,66.612,67.354,68.904,69.452,69.514,70.143,71.847,72.685
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,2.4,1.0,6.057,11.978,3.414,2.817,4.52,4.919,-0.263,2.021,4.846,4.412,1.952,-0.525,-3.041,0.066,7.335,11.156,12.896,13.701,14.605,28.456,36.38,36.626,34.205,25.685,NaN,30.786,27.055,33.554,41.278,45.206,52.671,66.52,61.719,59.926,59.505,55.015,45.625,43.147,42.207,42.608,44.928,43.691,44.513,49.58,47.684,50.174,56.862,59.17,56.699,71.42,73.881,82.911,79.019,64.888,76.618,74.986,80.836
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.264,3.228,-3.589,-8.891,-5.41,-0.724,1.883,-2.278,2.047,6.113,8.561,7.134,13.808,19.584,26.879,34.1,38.593,49.304,55.132,59.623,58.413,74.439,92.252,88.892,77.952,93.504,NaN,79.62,77.3,82.821,88.838,84.53,81.559,77.263,86.417,92.713,94.832,109.541,89.538,83.65,74.779,93.368,77.713,71.23,74.883,81.317,88.426,90.733,99.351,116.572,119.1,126.811,143.934,138.64,158.324,164.742,195.57,188.084,182.984
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-3.622,0.401,-7.644,-12.918,-9.711,-6.365,-3.25,-3.474,0.928,6.88,12.304,10.468,11.752,17.198,22.538,28.851,32.118,41.14,47.378,48.869,45.238,56.02,72.364,72.245,74.651,81.363,NaN,66.511,66.956,74.651,74.895,67.965,64.215,58.996,62.826,64.323,74.773,96.774,88.328,82.955,72.721,88.612,75.263,65.739,69.215,74.651,79.283,77.25,88.187,110.345,113.578,120.936,135.056,139.101,151.863,NaN,NaN,NaN,NaN
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-3.785,-0.408,-6.055,-10.158,-10.341,-5.272,0.421,-4.997,1.334,8.505,15.264,15.492,24.356,41.866,49.229,59.925,70.304,79.515,85.6,86.939,81.991,95.459,118.542,119.554,93.338,123.306,NaN,100.163,97.547,102.63,102.62,90.571,83.173,78.136,95.421,104.112,105.622,124.094,101.66,99.807,83.58,108.939,90.48,84.68,86.785,89.165,105.3,109.744,111.24,136.258,145.137,153.518,160.022,161.032,191.201,190.998,213.423,191.4,147.129
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),-0.579,3.013,-3.173,-8.917,-6.614,-2.237,0.258,-4.228,0.613,4.574,7.732,6.689,14.692,22.127,29.858,36.835,43.176,53.534,58.34,62.773,61.668,78.296,95.319,91.818,78.038,96.357,NaN,82.121,80.562,86.02,92.318,87.722,83.296,78.425,87.913,95.267,96.149,110.699,90.384,86.067,77.78,96.619,81.718,76.127,79.509,86.067,93.578,94.803,102.996,118.491,121.705,132.598,151.02,146.413,169.526,174.535,207.58,199.716,192.244
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,1.429,1.429,1.429,2.899,2.899,2.899,4.412,4.412,4.412,5.97,5.97,5.97,5.97,7.576,7.576,7.576,9.231,9.231,10.937,10.937,10.937,10.937,12.698,12.698,12.698,12.698,NaN,14.516,14.516,14.516,16.393,16.393,16.393,16.393,16.393,18.333,18.333,18.333,18.333,18.333,20.339,20.339,20.339,20.339,20.339,22.414,22.414,22.414,22.414,24.561,24.561,24.561,24.561,26.786,26.786,26.786,29.091,29.091,29.091
FBV,İŞ PORTFÖY MODEL SERBEST FON,3.321,4.507,2.459,5.178,2.374,2.502,2.119,2.502,1.992,6.407,4.418,2.034,1.111,0.696,3.757,6.131,10.323,11.88,15.889,17.833,20.372,35.726,44.08,42.658,43.491,45.1,NaN,40.86,39.58,41.183,43.491,46.659,46.746,46.484,47.098,48.34,48.34,48.43,46.484,43.995,45.702,48.52,53.529,55.57,55.57,56.66,55.57,56.66,60.654,62.351,65.188,72.612,73.833,78.504,74.822,71.768,76.454,74.698,70.932
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,0.863,1.499,2.403,3.169,3.924,5.043,5.81,6.358,6.97,8.172,5.648,5.957,6.252,6.42,6.683,9.833,10.364,11.352,13.949,21.826,23.088,38.398,44.607,46.051,47.546,48.301,NaN,49.179,49.61,50.629,50.723,51.749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TI6,İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.434,0.089,0.49,1.266,1.603,2.651,2.949,2.7,3.371,3.633,3.307,3.952,4.425,4.969,5.469,6.77,7.267,8.419,9.003,11.284,13.882,15.475,15.576,15.504,17.098,16.841,NaN,17.156,17.275,17.623,17.862,18.072,18.683,17.999,18.282,18.824,19.795,20.462,21.471,21.804,22.243,22.572,22.748,22.631,22.81,24.557,26.826,26.609,27.041,28.883,29.316,28.319,28.896,29.771,31.096,31.269,31.553,31.938,32.62
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.781,0.781,1.575,2.381,3.2,3.2,4.032,4.878,4.878,5.738,6.612,6.612,7.5,7.5,8.403,8.403,9.322,9.322,10.256,12.174,12.174,13.158,13.158,14.159,15.179,15.179,NaN,16.216,16.216,17.273,17.273,18.349,18.349,19.444,19.444,20.561,20.561,20.561,21.698,21.698,22.857,22.857,22.857,24.038,24.038,25.243,25.243,26.471,26.471,26.471,27.723,27.723,27.723,29.0,29.0,29.0,30.303,30.303,30.303
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,4.493,3.479,1.888,3.479,3.04,4.819,4.568,4.693,5.273,7.632,6.53,5.071,7.0,7.288,7.499,12.739,15.295,14.962,17.369,23.783,26.725,41.397,48.758,48.304,46.368,47.703,NaN,47.255,45.685,48.758,53.081,57.153,56.478,58.693,57.436,56.534,55.753,55.809,53.296,52.654,52.017,52.974,52.707,52.175,52.867,52.921,51.7,52.654,54.215,58.809,59.271,63.623,62.347,70.316,68.478,69.786,72.806,74.67,70.316
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,1.261,1.967,2.735,3.773,4.354,5.3,6.135,6.644,7.064,8.249,6.196,6.267,6.666,6.858,7.494,10.935,12.452,13.429,16.154,23.796,25.386,41.99,51.361,53.502,50.647,52.039,NaN,51.63,51.524,52.627,53.264,54.276,55.525,57.049,58.563,59.009,59.279,59.071,58.173,58.652,58.92,58.92,58.81,59.175,59.549,59.743,59.764,60.064,60.835,61.85,62.783,63.16,63.75,64.557,65.001,64.972,65.627,67.449,68.317
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,2.427,0.827,-2.64,-1.037,0.573,5.302,6.297,4.525,6.607,16.605,16.978,16.45,19.04,19.299,22.12,26.813,33.04,39.068,42.223,43.151,49.54,65.124,78.197,83.717,88.45,98.867,NaN,81.89,80.543,82.723,82.799,82.951,83.717,83.41,82.495,84.025,83.333,85.738,78.27,82.192,83.18,89.018,85.425,78.705,79.436,76.336,75.701,75.42,75.49,83.64,95.153,106.833,103.95,112.131,119.012,115.358,123.7,123.359,115.147
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IJT,İŞ PORTFÖY TARIM SERBEST FON,2.471,2.903,2.522,0.851,1.742,2.903,2.649,1.642,2.75,6.497,8.333,9.103,10.293,12.021,13.679,21.364,26.087,25.934,28.073,34.643,40.054,57.921,64.694,63.203,52.969,61.866,NaN,58.464,61.299,62.691,65.814,70.869,64.825,66.079,72.146,71.932,74.244,78.289,72.648,71.434,68.167,73.008,66.814,62.564,64.433,66.346,70.378,70.378,71.222,77.374,76.844,76.769,83.414,83.739,86.802,88.672,96.168,91.724,94.057
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,5.4,3.182,0.047,0.91,-1.126,0.621,-0.893,-1.541,-3.92,-0.566,-3.48,-6.061,-5.598,-7.137,-5.216,-1.816,0.765,5.611,9.11,13.884,18.56,35.476,43.401,44.681,46.085,46.592,NaN,45.079,45.279,48.034,49.822,53.532,51.546,48.242,45.983,49.929,47.207,48.451,43.695,48.346,48.555,51.328,56.496,57.666,56.148,55.0,54.206,53.198,57.079,59.697,59.576,68.371,69.317,76.402,76.402,79.557,86.549,84.912,75.374
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,4.873,2.743,-0.16,3.396,3.054,5.197,2.687,2.998,2.35,7.153,7.677,4.843,2.659,1.134,2.294,3.999,8.519,9.888,12.429,16.63,21.67,35.052,44.372,49.68,51.374,56.629,NaN,56.172,55.847,56.891,57.618,60.317,62.121,68.239,67.787,69.995,66.371,66.223,62.968,67.937,74.511,75.822,82.951,83.578,83.04,77.994,75.246,73.299,74.837,75.41,79.015,89.909,83.399,88.665,88.286,84.938,88.096,87.344,82.505
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,1.538,3.125,1.538,1.538,3.125,3.125,3.125,4.762,3.125,4.762,4.762,4.762,6.452,6.452,6.452,8.197,10.0,11.864,13.793,20.0,24.528,32.0,32.0,29.412,32.0,32.0,NaN,34.694,34.694,34.694,34.694,37.5,37.5,37.5,37.5,40.426,40.426,40.426,40.426,43.478,43.478,46.667,46.667,50.0,50.0,50.0,50.0,50.0,50.0,53.488,53.488,53.488,53.488,53.488,57.143,57.143,57.143,57.143,57.143
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,0.528,0.645,1.189,2.185,1.841,3.037,4.384,4.475,4.477,4.938,5.04,5.349,5.97,6.221,6.889,9.983,10.599,11.323,13.558,19.266,20.909,32.708,37.129,36.787,34.999,37.052,NaN,39.964,38.558,40.621,41.916,44.081,45.221,46.043,47.252,48.155,48.74,47.659,46.514,47.537,47.256,48.774,49.185,49.186,49.714,52.12,53.844,53.725,54.857,55.912,56.776,58.639,58.864,59.625,60.197,60.121,62.166,62.319,61.929
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,1.18,2.045,2.387,3.702,3.82,4.492,5.172,5.455,5.862,7.436,6.685,6.685,7.143,7.436,7.647,10.463,12.132,12.178,14.566,19.037,20.925,30.901,34.295,34.757,36.228,36.976,NaN,38.917,38.496,39.908,41.495,41.495,42.894,44.931,45.623,46.635,47.106,47.819,46.088,47.106,46.949,49.104,49.673,50.329,51.073,51.741,53.181,53.609,55.524,56.499,58.396,61.092,61.756,62.618,63.393,63.49,64.964,65.561,65.461
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK SERBEST FON,1.478,2.149,1.645,3.518,3.344,3.953,4.392,4.304,4.128,4.835,3.866,3.258,4.657,4.569,5.191,9.187,10.852,12.877,16.714,23.477,23.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,1.064,1.423,2.518,3.261,4.015,5.166,5.948,6.343,6.742,8.365,5.556,5.948,5.948,6.343,6.343,9.615,10.039,11.328,13.546,21.795,22.845,38.35,43.939,45.408,46.154,46.154,NaN,46.907,46.907,47.668,48.437,49.215,50.0,50.794,51.596,51.596,51.596,51.596,51.596,51.596,51.596,51.596,52.406,53.226,53.226,53.226,53.226,54.054,54.054,54.054,56.593,58.333,57.459,61.017,58.333,57.459,58.333,57.459,56.593
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,5.381,3.07,0.642,4.444,2.845,3.524,0.427,2.174,0.427,4.677,3.07,-0.212,-2.083,-3.885,-2.692,-0.424,3.07,3.753,6.095,10.849,14.914,29.834,38.235,39.053,41.566,44.615,NaN,45.062,44.615,46.875,48.265,54.098,55.116,59.322,58.784,59.864,56.146,56.146,53.595,56.667,61.512,60.959,67.857,67.857,67.857,65.493,62.63,60.41,60.959,62.069,64.336,74.074,69.675,76.03,75.373,75.373,78.707,76.692,71.533
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,3.104,0.07,-4.172,-4.172,-5.307,-1.886,-3.852,-5.679,-5.659,0.419,0.232,-2.418,-3.98,-5.182,-3.508,-2.352,4.882,10.576,14.022,14.871,17.019,31.606,43.455,50.139,57.937,63.19,NaN,47.271,45.731,46.821,43.075,43.981,45.192,45.731,47.674,51.296,49.567,53.066,47.221,50.979,53.338,59.689,63.995,63.933,62.943,58.692,57.075,59.926,62.087,70.537,78.282,95.739,105.033,113.868,113.551,108.801,118.744,117.861,109.003
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,2.294,2.645,4.788,5.512,5.59,5.737,6.565,6.682,5.917,7.819,4.774,3.61,4.581,4.5,3.514,5.971,11.014,11.771,14.767,21.962,25.448,40.63,49.408,48.887,43.637,43.366,NaN,43.976,42.547,44.94,45.999,48.674,51.162,52.897,53.492,53.681,53.047,51.773,48.887,49.853,50.577,50.352,55.034,53.22,54.389,54.275,55.173,55.848,58.166,59.314,61.653,69.781,65.789,70.833,71.67,70.983,71.387,73.467,71.378
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,4.895,4.252,0.977,4.027,-1.296,-2.065,-3.919,-2.461,-4.142,-1.799,-2.625,-6.193,-7.186,-9.396,-10.071,-7.097,-2.756,-2.494,0.069,2.226,4.365,15.813,21.965,20.441,19.545,22.481,NaN,20.441,18.809,21.3,21.708,26.277,25.892,23.897,25.184,25.783,23.685,24.11,20.441,20.441,19.892,19.447,25.728,25.184,25.892,24.163,24.968,24.537,24.645,27.896,30.433,37.304,39.489,45.013,45.158,41.814,43.859,41.053,34.683
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,2.0,2.0,2.0,2.0,4.082,4.082,4.082,6.25,6.25,6.25,6.25,8.511,8.511,8.511,8.511,10.87,10.87,10.87,13.333,13.333,13.333,15.909,15.909,18.605,18.605,18.605,NaN,21.429,21.429,21.429,21.429,21.429,24.39,24.39,24.39,24.39,24.39,24.39,27.5,27.5,27.5,27.5,27.5,27.5,30.769,30.769,30.769,30.769,30.769,34.211,34.211,34.211,34.211,34.211,37.838,37.838,37.838,37.838,37.838
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,1.081,3.662,5.769,6.808,7.211,7.963,8.121,4.556,7.196,10.399,9.597,7.165,11.247,13.155,16.436,20.972,23.047,24.373,27.221,34.86,34.885,51.383,58.053,58.46,44.854,51.29,NaN,50.305,49.757,52.037,53.203,54.388,52.918,48.702,55.82,60.004,60.77,65.561,60.247,56.348,50.888,60.7,52.602,50.796,53.617,56.912,61.897,60.84,63.113,71.997,73.288,75.719,81.593,80.749,90.046,90.635,97.884,95.58,93.328
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,3.279,2.941,2.606,4.305,3.96,5.0,4.305,5.0,4.305,7.143,5.351,3.96,3.279,2.941,3.96,7.509,10.14,12.1,14.964,21.154,24.016,40.0,47.196,48.585,49.289,50.718,NaN,50.0,50.0,52.174,52.174,55.941,56.716,54.412,52.174,53.659,51.442,52.174,50.718,52.174,55.172,55.941,58.291,60.714,62.371,62.371,60.714,59.091,59.091,61.538,62.371,67.553,68.449,71.196,73.077,73.077,74.033,72.131,67.553
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),1.303,6.143,0.974,-3.266,-2.047,3.667,5.963,2.98,7.612,11.47,15.829,11.47,16.917,21.248,29.583,35.512,40.09,49.519,54.342,59.897,57.868,74.719,93.168,89.058,65.426,88.485,NaN,72.299,69.945,75.706,80.29,76.705,73.259,63.684,72.778,77.208,79.251,98.089,82.941,76.204,65.867,82.405,64.987,57.868,60.309,65.426,75.706,75.706,79.769,98.089,98.722,103.934,114.483,112.287,132.959,135.606,161.345,151.822,149.799
KPP,KARE PORTFÖY PARA PİYASASI FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,4.977,2.655,1.31,3.111,2.203,3.111,1.31,1.754,0.433,4.505,3.111,0.433,-0.855,-2.929,-2.11,0.0,4.505,5.936,8.92,13.725,17.766,34.104,43.21,44.099,46.835,46.835,NaN,45.912,45.912,49.677,48.718,53.642,55.705,55.705,51.634,54.667,50.649,49.677,46.835,48.718,54.667,53.642,60.0,63.38,64.539,62.238,60.0,55.705,56.757,60.0,61.111,70.588,69.343,74.436,78.462,77.099,79.845,78.462,70.588
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,1.328,2.245,3.09,4.075,4.683,5.838,6.158,6.525,6.805,8.122,5.978,6.133,6.433,6.768,7.621,11.112,12.603,13.516,16.331,24.065,25.529,42.706,52.243,53.835,51.041,52.564,NaN,52.343,52.117,53.349,53.976,55.258,56.309,57.174,58.987,59.523,59.654,59.509,58.892,59.269,59.578,59.758,59.806,60.347,60.815,61.356,61.603,62.242,61.958,63.724,65.145,65.426,66.929,68.375,69.046,69.286,70.45,71.662,72.335
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,0.814,2.172,7.307,11.93,10.301,8.024,9.071,8.847,8.799,9.183,8.513,9.328,8.513,7.587,6.905,11.01,13.243,14.077,17.116,22.301,23.254,37.23,42.849,41.354,38.483,36.524,NaN,45.307,42.52,46.107,49.698,49.939,55.071,63.462,63.319,65.723,65.797,61.931,58.816,58.039,57.871,60.462,65.097,67.932,70.046,72.894,72.653,72.173,76.718,76.257,77.733,88.317,86.896,90.636,87.699,82.311,86.896,89.663,90.246
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,1.592,1.916,3.235,3.803,3.992,4.673,5.202,5.249,4.421,6.087,2.795,1.865,2.532,2.304,1.102,3.158,6.83,7.549,10.302,17.051,20.087,35.04,41.481,41.831,42.077,41.244,NaN,43.06,41.917,44.593,45.674,48.118,50.332,51.539,51.812,52.261,51.743,50.809,48.27,48.858,49.613,49.672,54.522,52.766,53.803,53.787,54.94,55.511,57.421,58.134,60.635,67.768,63.329,68.4,68.737,67.962,68.372,70.25,67.935
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,0.845,1.455,2.346,3.09,3.834,4.936,5.676,6.211,6.787,7.949,5.395,5.665,5.924,6.043,6.281,9.381,9.884,10.876,13.438,21.237,22.379,37.64,43.872,45.347,46.881,47.642,NaN,48.523,48.937,49.811,50.526,51.504,52.069,52.48,53.196,53.3,53.548,53.838,54.056,54.21,54.364,54.6,54.763,55.278,55.682,56.029,56.162,56.328,56.436,56.628,57.409,56.787,56.921,57.115,57.317,57.401,57.824,59.167,60.315
