Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
TJF,TEB PORTFÖY SÜRDÜRÜLEBİLİRLİK FON SEPETİ FONU,1.902,3.067,3.005,10.867,11.01,16.757,18.945,16.046,15.889,14.115,7.125
TGX,TEB PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,1.373,5.165,2.074,4.885,7.169,10.374,16.355,13.996,21.377,23.536,21.502
TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TMV,TERA PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,0.938,1.128,1.414,2.184,3.065,4.466,4.976,6.64,7.385,8.687,11.387
TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TVN,TRIVE PORTFÖY BİRİNCİ FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
THD,TRIVE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KID,TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,1.785,3.331,3.387,3.713,4.794,5.575,5.238,4.776,5.174,NaN,NaN
KIF,TRIVE PORTFÖY EMTİA SERBEST FON,2.207,2.515,1.595,3.347,4.835,5.269,5.052,-0.098,1.697,NaN,NaN
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,2.005,7.735,9.142,10.377,14.035,12.717,16.418,NaN,NaN,NaN,NaN
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,0.375,0.848,1.23,1.614,2.099,2.49,2.984,3.382,3.883,4.288,4.799
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,2.51,4.184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
