Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks
KKH,İŞ PORTFÖY DENGELİ FON SEPETİ FONU,1.453,2.885,5.013,7.643,8.62,9.399,10.7,10.627,12.408,12.71,12.032
IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,2.274,3.2,7.013,10.116,10.758,12.36,12.657,10.401,13.782,12.508,8.784
IPJ,İŞ PORTFÖY ELEKTRİKLİ ARAÇLAR KARMA FON,1.329,1.329,0.465,6.382,7.152,11.845,10.888,7.933,9.436,6.23,2.329
TGE,İŞ PORTFÖY EMTİA YABANCI BYF FON SEPETİ FONU,2.273,3.448,0.0,3.448,5.882,8.434,4.651,3.448,7.143,8.434,4.651
IPV,İŞ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,0.83,1.74,2.019,2.408,2.864,3.817,4.154,4.191,4.578,5.626,6.141
IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,4.454,5.991,4.346,14.148,15.786,21.8,19.208,9.799,17.609,16.522,20.418
TI2,İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.518,13.547,14.873,18.915,27.893,25.117,35.438,38.802,54.965,51.041,48.367
IHT,İŞ PORTFÖY İHRACATÇI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.17,18.671,20.495,24.647,32.613,34.895,42.095,NaN,NaN,NaN,NaN
TI3,İŞ PORTFÖY İŞ BANKASI İŞTİRAKLERİ ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.713,12.641,16.875,20.87,23.971,24.453,38.837,38.74,49.431,38.931,17.824
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.206,12.16,13.81,19.402,28.858,26.493,38.358,40.929,57.893,53.856,50.02
IAT,İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,0.0,1.754,1.754,1.754,1.754,3.571,3.571,3.571,5.455,5.455,5.455
FBV,İŞ PORTFÖY MODEL SERBEST FON,2.549,3.633,5.444,10.183,10.962,13.943,11.593,9.644,12.635,11.514,9.11
ONS,İŞ PORTFÖY ONİKİNCİ SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TI6,İŞ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.341,1.796,2.138,1.351,1.806,2.498,3.544,3.681,3.905,4.209,4.748
TBV,İŞ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,0.99,0.99,0.99,2.0,2.0,2.0,3.03,3.03,3.03
IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,1.023,4.032,4.335,7.186,6.35,11.57,10.366,11.223,13.202,14.423,11.57
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,0.482,1.116,1.699,1.934,2.303,2.807,3.085,3.066,3.476,4.614,5.156
IJZ,İŞ PORTFÖY SİBER GÜVENLİK TEKNOLOJİLERİ DEĞİŞKEN FON,0.04,4.686,11.249,17.908,16.264,20.928,24.85,22.767,27.523,27.328,22.647
BIO,İŞ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IJT,İŞ PORTFÖY TARIM SERBEST FON,0.495,4.106,3.795,3.751,7.651,7.842,9.64,10.737,15.137,12.529,13.898
IEV,İŞ PORTFÖY TAŞIMACILIK DEĞİŞKEN FON,2.534,4.242,4.164,9.904,10.522,15.146,15.146,17.206,21.77,20.702,14.476
ITP,İŞ PORTFÖY TEKNOLOJİ KARMA FON,0.887,1.218,3.298,9.584,5.828,8.866,8.648,6.716,8.538,8.104,5.312
TMC,İŞ PORTFÖY TEMA DEĞİŞKEN FON,0.0,2.326,2.326,2.326,2.326,2.326,4.762,4.762,4.762,4.762,4.762
TI4,İŞ PORTFÖY TEMKİNLİ DEĞİŞKEN FON,0.737,1.423,1.985,3.197,3.343,3.838,4.21,4.161,5.491,5.591,5.337
ILZ,İŞ PORTFÖY TEMKİNLİ FON SEPETİ FONU,1.246,1.881,3.116,4.871,5.303,5.865,6.369,6.432,7.392,7.78,7.715
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK SERBEST FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TDG,İŞ PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU,0.0,0.0,1.648,2.778,2.21,4.52,2.778,2.21,2.778,2.21,1.648
TMG,İŞ PORTFÖY YABANCI HİSSE SENEDİ FONU,0.342,1.034,2.448,8.519,5.776,9.738,9.328,9.328,11.407,10.15,6.934
IJC,İŞ PORTFÖY YARI İLETKEN TEKNOLOJİLERİ DEĞİŞKEN FON,1.351,6.635,11.478,22.393,28.205,33.73,33.531,30.561,36.778,36.226,30.687
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,1.487,2.224,3.724,8.94,6.378,9.615,10.152,9.711,9.97,11.305,9.964
IKP,İŞ PORTFÖY YENİLENEBİLİR ENERJİ KARMA FON,0.086,2.697,4.734,10.252,12.006,16.441,16.558,13.873,15.515,13.262,8.147
KRC,KARE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,0.0,2.632,2.632,2.632,2.632,2.632,5.405,5.405,5.405,5.405,5.405
KRF,KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON,1.413,6.937,7.739,9.251,12.902,12.378,18.158,18.524,23.032,21.599,20.199
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,0.0,1.538,2.062,5.319,5.882,7.609,8.791,8.791,9.392,8.197,5.319
KYA,KARE PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),2.312,12.739,13.099,16.066,22.069,20.819,32.584,34.091,48.739,43.32,42.169
KPP,KARE PORTFÖY PARA PİYASASI FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KRS,KARE PORTFÖY SERBEST (DÖVİZ) FON,0.676,2.759,3.472,9.559,8.759,12.03,14.615,13.74,15.504,14.615,9.559
KRT,KARE PORTFÖY TÜRKİYE ODAKLI SERBEST (DÖVİZ ) FON,-0.175,0.913,1.789,1.962,2.889,3.78,4.193,4.341,5.059,5.806,6.221
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,2.64,2.372,3.229,9.377,8.551,10.723,9.017,5.888,8.551,10.158,10.497
KAV,KUVEYT TÜRK PORTFÖY ALTINCI KATILIM SERBEST (DÖVİZ-AVRO) FON,1.228,1.687,3.295,7.881,5.027,8.288,8.505,8.007,8.27,9.478,7.989
KDL,KUVEYT TÜRK PORTFÖY BEŞİNCİ KATILIM SERBEST (DÖVİZ) FON,0.069,0.192,0.692,0.294,0.379,0.503,0.632,0.686,0.957,1.816,2.55
KTR,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM SERBEST (TL) FON,0.411,0.788,1.205,1.588,1.973,2.362,2.714,3.108,3.466,3.865,4.269
KTM,KUVEYT TÜRK PORTFÖY BİRİNCİ KATILIM (TL) FONU,2.11,6.761,7.537,9.078,12.98,13.202,16.723,18.08,23.692,22.58,23.663
KCV,KUVEYT TÜRK PORTFÖY ÇOKLU VARLIK KATILIM FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KTT,KUVEYT TÜRK PORTFÖY DÖRDÜNCÜ KATILIM SERBEST (DÖVİZ) FON,0.475,1.02,1.534,2.023,2.468,3.806,2.581,2.522,1.284,1.901,2.463
KPU,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KTS,KUVEYT TÜRK PORTFÖY İKİNCİ KATILIM SERBEST FON,3.2,7.596,8.176,9.754,14.812,14.959,18.426,20.803,27.723,26.471,26.692
KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),4.877,14.453,16.791,20.545,30.222,30.877,39.732,44.513,61.878,58.7,59.782
KSV,KUVEYT TÜRK PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON,0.404,0.743,1.153,1.497,1.843,2.192,2.543,2.897,3.253,3.611,3.972
KTV,KUVEYT TÜRK PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM (TL) FONU,0.377,0.709,1.043,1.38,1.718,2.059,2.452,2.798,3.146,3.497,3.901
KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,3.378,3.756,3.164,12.183,12.12,16.794,14.179,6.993,13.463,13.787,16.384
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,0.427,0.74,1.134,1.571,2.213,2.701,2.946,3.275,3.772,4.106,4.951
KLU,KUVEYT TÜRK PORTFÖY PARA PİYASASI KATILIM (TL) FONU,0.307,0.694,1.006,1.32,1.715,2.033,2.353,2.675,2.999,3.407,3.736
KSR,KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU,1.21,5.854,5.437,8.692,11.779,13.294,13.679,13.582,17.782,17.575,15.844
IDD,LOGOS PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,3.509,3.509,5.357,9.259,11.321,11.321,13.462,13.462,15.686,15.686,15.686
MAC,MARMARA CAPITAL PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.179,16.814,22.791,30.049,35.385,38.22,49.153,51.724,69.231,60.0,53.488
MAD,MEKSA PORTFÖY BİRİNCİ DEĞİŞKEN FON,4.035,15.335,17.208,21.141,27.113,25.784,37.786,41.016,57.642,51.046,52.966
MBL,MEKSA PORTFÖY İKİNCİ DEĞİŞKEN FON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,1.25,1.25
NBH,NEO PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,2.107,5.775,6.904,9.475,13.102,15.895,17.161,21.718,24.544,26.858,29.038
NZH,NEO PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,0.423,0.849,1.278,1.712,2.149,2.59,3.035,3.483,3.936,4.392,4.853
NRC,NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON,3.577,11.911,13.224,16.496,17.876,15.524,27.146,31.34,51.667,47.113,42.569
NHP,NEO PORTFÖY BİRİNCİ FON SEPETİ FONU,1.498,4.555,5.642,7.396,9.126,10.139,12.49,13.206,15.41,15.597,16.069
NHY,NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.03,11.514,13.093,16.218,18.195,15.881,26.926,31.306,50.613,46.069,41.416
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,0.404,0.812,1.305,1.72,2.138,2.56,2.985,3.414,3.933,4.282,4.722
NBZ,NEO PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,1.388,1.943,2.695,2.646,2.571,3.075,3.287,3.436,3.908,5.16,5.884
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,0.984,1.249,1.449,2.122,3.217,3.914,4.265,5.335,5.624,7.093,8.374
NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,0.372,0.84,1.313,1.695,2.176,2.564,3.053,3.448,3.946,4.348,4.854
NVZ,NEO PORTFÖY ORSA SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,0.358,0.718,1.154,0.863,1.227,1.668,2.038,1.816,2.261,2.711,3.469
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,0.471,0.851,1.33,1.813,2.203,2.596,2.992,3.391,3.794,4.098,4.505
NJF,NUROL PORTFÖY ALTIN FONU,2.292,2.033,2.869,7.552,7.841,9.19,8.248,5.518,7.552,8.894,9.19
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,0.549,1.024,1.504,1.989,2.478,2.972,3.471,3.974,4.482,4.996,5.514
NJY,NUROL PORTFÖY BİRİNCİ KATILIM FONU,0.924,3.373,3.988,5.687,8.983,9.051,11.062,11.345,15.086,15.01,15.619
NJG,NUROL PORTFÖY BİRİNCİ SERBEST FON,0.48,0.721,1.126,1.617,2.112,2.529,2.948,3.542,4.056,4.489,4.925
NSD,NUROL PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,0.389,0.86,1.256,1.735,2.138,2.625,3.035,3.448,3.865,4.369,4.793
NTS,NUROL PORTFÖY TAŞINMAZ SEKTÖRÜ SERBEST FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NCS,NUROL PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OPF,OSMANLI PORTFÖY AGRESİF DEĞİŞKEN FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OIL,OSMANLI PORTFÖY AGRESİF FON SEPETİ FONU,4.765,14.424,17.034,20.991,29.003,28.037,36.436,39.529,51.775,47.555,42.897
OPD,OSMANLI PORTFÖY ANKA SERBEST FON,5.487,5.487,5.487,5.487,10.061,10.061,10.061,10.061,10.061,11.928,11.928
OUD,OSMANLI PORTFÖY ATLANTİK SERBEST (DÖVİZ) FON,2.336,3.315,4.542,4.836,5.964,6.869,7.068,7.056,7.814,8.053,8.597
OPB,OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON,3.921,7.094,8.162,9.011,12.217,12.654,15.234,16.354,19.313,18.863,19.848
OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,1.147,2.405,2.831,3.782,4.661,4.928,5.646,5.918,6.834,7.112,7.391
OPH,OSMANLI PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),8.888,20.495,24.64,28.61,42.058,42.751,53.365,58.231,72.95,71.411,76.92
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,1.586,2.974,3.223,8.929,5.78,9.957,12.566,9.957,13.665,12.073,7.376
OIR,OSMANLI PORTFÖY DENGELİ FON SEPETİ FONU,2.417,6.36,7.53,9.853,12.378,12.478,14.711,15.651,19.007,18.563,18.233
OPL,OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON,2.896,5.306,6.169,6.734,8.469,8.683,10.592,10.704,12.916,12.916,13.733
OPI,OSMANLI PORTFÖY İKİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),5.527,17.502,20.97,24.59,34.548,35.222,44.882,48.539,62.88,58.815,58.751
OLA,OSMANLI PORTFÖY İKİNCİ SERBEST (DÖVİZ- AVRO) FON,4.08,5.462,7.091,13.738,11.77,16.407,16.264,15.598,16.016,16.604,14.049
OSL,OSMANLI PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.0,0.0,0.0,0.0,2.564,2.564,2.564,2.564,2.564,2.564,2.564
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,0.498,0.874,1.254,1.861,2.312,2.637,3.03,3.659,4.261,4.497,4.904
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,2.588,2.283,3.153,9.048,8.189,10.273,8.36,5.207,7.849,9.511,9.803
OKT,OYAK PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,0.0,0.0,2.632,2.632,2.632,2.632,2.632,2.632,2.632,5.405,5.405
OKD,OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON,4.545,13.115,15.0,20.0,24.324,22.124,30.189,32.692,40.816,38.0,39.394
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,2.505,6.029,7.042,10.718,13.071,13.858,16.603,16.284,21.809,21.185,19.82
OHB,OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),3.614,14.685,16.342,21.662,29.651,26.389,37.486,39.286,53.784,48.721,47.36
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,1.145,3.859,2.988,3.289,4.319,4.744,5.763,6.321,9.323,8.86,10.047
OKP,OYAK PORTFÖY BİRİNCİ KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,0.313,0.692,1.073,1.393,1.715,2.04,2.431,2.76,3.157,3.491,3.961
ODD,OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON,0.854,2.773,3.363,4.362,5.381,5.292,6.329,6.599,11.867,9.565,9.98
OBI,OYAK PORTFÖY İKİNCİ BORÇLANMA ARAÇLARI (TL) FONU,-0.097,2.178,2.279,-1.244,-0.482,1.276,NaN,NaN,NaN,NaN,NaN
OBP,OYAK PORTFÖY İKİNCİ DEĞİŞKEN FON,0.0,4.255,4.255,2.083,2.083,8.889,8.889,8.889,11.364,11.364,13.953
OFI,OYAK PORTFÖY İKİNCİ FON SEPETİ FONU,2.595,5.422,5.893,8.807,11.049,13.493,14.258,12.524,17.893,16.047,12.311
ODS,OYAK PORTFÖY İKİNCİ SERBEST(DÖVİZ) FON,2.212,3.68,3.984,6.044,7.105,8.949,9.942,9.4,10.224,11.105,11.37
OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,3.519,2.766,1.364,7.051,7.54,10.572,9.288,3.443,8.449,10.399,10.745
PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),5.271,12.45,13.259,18.315,27.805,25.376,33.585,37.005,53.88,47.401,50.531
PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,0.705,0.973,1.241,1.692,2.147,2.238,2.883,4.007,4.675,5.351,6.035
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PJL,PHİLLİP PORTFÖY PARA PİYASASI FONU,0.407,0.735,1.148,1.48,1.815,2.152,2.577,2.919,3.264,3.697,4.047
PPE,PHİLLİP PORTFÖY SERBEST (DÖVİZ) FON,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PBK,QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST(DÖVİZ) FON,0.396,1.197,1.292,2.029,2.248,2.942,2.971,3.103,1.894,2.52,3.304
PDF,QİNVEST PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.263,0.574,0.962,0.733,0.936,1.364,1.504,1.602,1.9,2.888,3.727
EIB,QİNVEST PORTFÖY DEĞİŞKEN FON,1.46,3.731,4.511,4.511,5.303,6.107,7.752,9.449,11.2,15.833,17.797
EID,QİNVEST PORTFÖY HİSSE SENEDİ FONU (HİSSE YOĞUN FON),3.761,12.201,16.958,20.256,29.558,28.142,37.941,42.553,56.333,56.856,58.983
EIC,QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU,1.923,6.0,6.0,8.163,10.417,10.417,12.766,15.217,20.455,23.256,26.19
IZF,QİNVEST PORTFÖY İKİNCİ KATILIM SERBEST FON,1.87,4.025,2.694,3.812,5.028,6.124,7.698,8.464,9.87,11.071,12.796
PDD,QİNVEST PORTFÖY KATILIM FONU,1.366,4.212,3.58,4.212,5.566,6.821,8.312,9.283,10.916,12.155,14.028
ELZ,QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),4.845,14.098,17.805,19.64,29.231,29.274,37.39,42.075,53.247,54.152,54.883
KIS,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (DÖVİZ) FONU,0.0,1.429,1.429,1.429,1.429,2.899,2.899,2.899,1.429,2.899,2.899
EKF,QİNVEST PORTFÖY KİRA SERTİFİKASI KATILIM (TL) FONU,0.0,3.125,3.125,3.125,3.125,6.452,6.452,10.0,10.0,10.0,13.793
EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,0.316,0.714,1.034,1.438,1.763,2.172,2.502,2.917,3.336,3.758,4.184
OJK,QNB FİNANS PORTFÖY ALTIN FONU,2.129,2.223,3.035,8.773,8.292,10.682,6.877,4.35,7.764,10.02,11.408
OJB,QNB FİNANS PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.633,1.633
BID,QNB FİNANS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FNO,QNB FİNANS PORTFÖY BİRİNCİ DEĞİŞKEN FON,0.0,2.041,2.041,2.041,4.167,4.167,4.167,4.167,8.696,8.696,8.696
FYD,QNB FİNANS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.606,11.36,12.716,16.824,25.301,21.112,28.986,34.395,50.814,46.699,44.85
FPZ,QNB FİNANS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.762,1.689,1.833,2.637,3.286,4.627,4.785,4.896,5.219,6.676,7.13
FI3,QNB FİNANS PORTFÖY BORÇLANMA ARAÇLARI FONU,0.64,3.352,4.385,2.872,3.511,3.345,6.058,6.142,6.722,6.547,7.276
FFH,QNB FİNANS PORTFÖY ÇOKLU VARLIK KATILIM FONU,1.837,4.643,5.613,7.891,10.566,10.447,11.71,13.315,16.27,16.138,16.204
OVD,QNB FİNANS PORTFÖY EMTİA FON SEPETİ FONU,-0.196,1.499,-1.359,-0.587,1.702,3.779,1.6,-0.781,2.938,3.885,0.694
