Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,0.7980701524933532,1.5860504780119804,2.3741526034905602,3.171439466261365,3.9631778456641666,4.752562380255795,5.538038700914089,6.320269830575553,7.102304829269703,7.855969070598334,8.611733891344425,9.36946338163032,10.119718563954534,10.87260415304359,11.635365518210076,12.40977106029456,13.176442143314329,13.904138883891948,14.624461987996598,15.31193868907238,16.006741537158668,16.690779955280803,17.361447052589398,18.029094554207322
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,4.442244247445437,5.2382599684392055,9.345857773938237,7.52004546939819,8.954350289534153,10.438319642979472,13.031408188896727,11.79713493579795,15.393110464668188,18.14018607833733,21.766484911366703,25.666510785759694,31.110545367655757,25.809748979767004,22.71930220017952,26.96967145438543,28.81906139740069,29.156573944046027,23.502765204500225,24.234264617237532,24.470713150637437,26.753529797367744,26.960442559728072,23.06941657105884
UP1,ÜNLÜ PORTFÖY ALTIN FONU,-1.4924175559656614,-0.7427852438828519,-0.5259630538052418,0.4007740354749931,3.9295074660753873,5.705674027790524,6.2190344625267855,6.474837085188965,9.0735414906461,10.134508527903641,11.994226986482099,10.58790053079986,10.628420909409897,11.255631566660277,16.80026865308657,22.802449123973815,21.141093534356557,19.316229744437337,20.550356580134117,19.419607772403882,17.388625538398024,16.178741442455436,17.90025114969832,17.916224598576715
SUA,ÜNLÜ ASSET MANAGEMENT FIRST VARIABLE FUND,0.8464817168922482,1.3740848204218443,2.5109203498565846,3.3092797720274008,3.9051825979762693,4.9673100871731,5.437819243198164,6.049708261469018,6.6439981021666945,7.7235620829761,7.882695507487513,9.193516174478164,9.457024592159724,10.779922018750552,11.380103951019684,11.827725169571632,12.983183186537605,14.456665648233011,15.071274986063543,15.25221909504221,16.85334195948405,18.36991439388177,16.99661663919493,18.47043114656173
UPD,ÜNLÜ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,0.6008942104442108,1.1801298056032459,2.0467557815259196,3.2098453586546962,4.342579013546278,4.942463216425235,5.565507693024242,5.868559061684839,6.190483935811844,6.961391275669339,7.771750281321217,8.546341821324344,9.473949929806224,10.08186227348083,11.101543943542078,11.942131624927214,12.51065840069294,14.091923816452494,14.305987433829015,14.772928020074586,15.288238110026809,14.220452464663364,13.75889227413711,13.949176811179044
UPH,ÜNLÜ ASSET MANAGEMENT EQUITY FUND (EQUITY-INTENSIVE FUND),1.9638098085450788,3.8982271800419395,9.129033521058528,12.005686619663,9.766699335002665,11.38432913242456,9.574426263180127,8.267944558526356,8.821536703599122,11.111940714224207,7.900144432028046,11.251880659204524,9.977851188726548,8.711549458321565,5.086709674566997,1.7397166539941056,6.820040018418181,10.20471086715864,8.25555536719203,7.811459074531323,13.160736095553002,18.834335738104873,15.458162686070335,21.493439521664076
SUB,ÜNLÜ ASSET MANAGEMENT SECOND VARIABLE FUND,1.5209163346613552,4.249682935809849,8.042187831248688,12.308209329359329,10.283154626013005,11.509575358426371,6.878129341756899,5.6550380164089935,6.235929292087053,7.626921777327259,3.363232110170823,6.71140588275324,5.484463532638222,5.287786133377405,3.611200056925321,2.1609485722304127,4.821649860909,8.538630688382838,7.234575304706453,7.587160514677166,11.68001577788248,16.84521250680652,15.98495667362696,20.30475426089421
UJA,ÜNLÜ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0.7027775042159526,1.3871504716597742,2.0548935358028193,2.8111413261770783,3.4859044717567733,4.361499697238626,5.0178484740520775,5.7133676058297,6.377358409623247,7.153131692877757,7.8162255173976805,8.336496289374697,8.68538774884054,9.463718045708138,10.292139829036067,11.053748271557248,11.523557074711947,12.180203839391785,12.885469511553202,13.72176507210002,13.91329863808816,14.69461478064692,15.198010717595768,15.899521209624876
USY,ÜNLÜ PORTFÖY MUTLAK GETİRİ HEDEFLİ SERBEST FON,0.7618367666776958,0.1566448575483787,1.0133719712310552,0.3485740546446188,1.7961596312683088,2.9544160557967447,5.580593365689886,7.030621398910538,7.695958458574897,8.642265050740209,10.762413383867392,13.286542151219704,16.940503617477066,15.31501908149742,14.882317321341718,17.87911505867014,18.252508532074472,19.086035336125367,16.12382099137066,17.471096359004036,16.397119465733308,17.338889564829465,16.48733253480155,15.33570524511416
UP2,ÜNLÜ PORTFÖY ONBİRİNCİ SERBEST (TL) FON,0.7938201621144059,1.5780460825569302,2.3933562850481565,3.208619561966715,4.031338399537539,4.864259479709957,5.680434060458415,6.474421610642206,7.268954494331073,8.062100490850622,8.849423181746317,9.63093001074223,10.401981025806304,11.18225750083353,11.973370035302187,12.784553044306005,13.605709674479927,14.413744067992784,15.215223049038991,15.935375503177193,16.671570557433263,17.394863529361864,18.098248512549873,18.78951231131732
