Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
BDC,AURA PORTFÖY BODRUM SERBEST FON,4.546,6.379,8.476,10.783,7.801,-0.775,3.281,7.545,8.797,7.545,7.979,7.153,8.197,9.750,10.099,14.266,16.000,21.859,14.266,16.206,21.582,23.159,28.847,24.963,24.698,28.790,30.793,33.070,34.745,33.613,32.740,37.547,34.807,41.006,39.933,42.095,46.516,34.714,37.708,33.826,33.070,35.770,39.834,39.337,43.271,40.300,44.395,43.480,44.360,48.101,55.700,58.765,62.400,None,67.339,69.997,68.876,71.084,72.336,71.233,71.783,72.994,74.948,77.855,79.976,83.739,85.651,92.197,102.233,97.418,98.483,97.087,92.700,92.764
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,0.918,1.777,2.651,3.513,4.390,5.228,6.051,6.944,7.823,8.717,9.625,10.549,11.458,12.445,13.417,14.439,15.446,16.504,17.582,18.681,19.764,20.868,21.992,23.100,24.267,25.378,26.548,27.701,28.875,30.070,31.246,32.443,33.750,35.218,36.306,37.597,38.866,40.207,41.525,42.817,44.184,45.578,46.946,48.340,49.705,51.152,52.628,54.132,55.607,57.110,58.704,60.205,61.799,None,64.882,66.435,68.017,69.487,70.912,72.361,73.835,75.334,76.706,78.177,79.594,80.952,82.332,85.493,87.115,88.503,89.911,91.341,92.793,94.174
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,1.058,1.948,2.743,3.946,4.229,4.945,5.759,6.644,7.515,8.400,9.268,10.055,11.176,12.221,13.252,14.303,15.338,16.428,17.502,18.634,19.749,20.848,21.967,23.107,24.268,25.410,26.574,27.759,28.967,30.153,31.362,32.593,33.894,35.413,36.526,37.807,39.162,40.545,41.797,43.125,44.478,45.913,47.320,48.696,50.098,51.527,52.984,54.531,55.982,57.526,59.034,60.639,62.277,None,65.440,67.031,68.653,70.156,71.608,73.164,74.668,76.118,77.674,79.174,80.700,82.165,83.566,85.078,86.797,88.270,89.672,91.191,92.637,94.007
FZP,FİBA PORTFÖY SERBEST FON,0.892,1.547,2.286,3.142,3.720,4.091,5.031,6.043,6.935,7.755,8.560,9.318,10.176,11.169,12.056,13.083,14.322,15.391,16.381,17.455,18.550,19.735,20.873,22.106,23.252,24.343,25.339,26.468,27.658,28.504,29.650,30.900,31.918,33.432,34.268,35.474,36.748,38.517,39.561,40.476,41.896,43.699,46.071,47.233,49.012,50.443,51.620,52.529,54.321,55.619,57.060,57.852,59.772,None,63.428,64.618,66.231,67.807,68.921,70.835,72.500,73.974,76.158,77.773,79.024,80.853,82.392,84.208,85.806,86.829,87.604,88.124,89.349,90.056
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,1.744,2.592,2.687,4.857,4.626,5.255,5.959,6.844,7.675,8.518,9.267,9.845,11.278,12.445,13.520,14.616,15.692,16.831,17.991,19.133,20.297,21.439,22.603,23.836,25.047,26.234,27.395,28.627,29.883,31.164,32.470,33.695,35.053,36.663,37.795,39.121,40.533,41.912,43.319,44.691,46.090,47.581,49.103,50.589,52.035,53.580,55.084,56.618,58.183,60.010,61.486,62.990,64.360,None,67.169,68.611,70.077,71.569,72.997,74.449,75.926,77.333,78.763,80.119,81.595,82.994,84.415,85.858,87.324,88.813,90.217,91.532,92.977,94.331
IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,1.044,1.880,2.653,3.674,4.072,4.797,5.614,6.486,7.330,8.273,9.102,9.899,10.979,11.988,12.969,14.015,15.032,16.117,17.171,18.297,19.392,20.507,21.589,22.746,23.925,25.069,26.235,27.362,28.571,29.804,30.933,32.146,33.448,34.910,35.994,37.304,38.639,39.928,41.241,42.504,43.866,45.255,46.670,48.033,49.421,50.835,52.277,53.833,55.333,56.862,58.421,60.012,61.635,None,64.781,66.400,68.052,69.524,71.023,72.548,74.100,75.567,77.059,78.576,80.000,81.447,82.794,84.286,85.802,87.215,88.649,89.972,91.314,92.674
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,1.098,1.965,2.704,3.775,4.215,4.957,5.771,6.659,7.531,8.449,9.318,10.135,11.232,12.249,13.284,14.339,15.414,16.472,17.587,18.686,19.805,20.946,22.068,23.211,24.375,25.520,26.685,27.828,29.037,30.223,31.478,32.709,34.012,35.491,36.596,37.874,39.229,40.557,41.856,43.179,44.527,45.959,47.360,48.728,50.122,51.605,53.054,54.595,56.102,57.705,59.274,60.873,62.434,None,65.573,67.151,68.681,70.162,71.668,73.120,74.597,76.099,77.542,79.009,80.411,81.926,83.284,84.754,86.249,87.768,89.311,90.782,92.175,93.589
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,0.973,1.858,2.505,4.010,4.197,4.912,5.713,6.566,7.433,8.315,9.169,9.871,11.090,12.162,13.167,14.190,15.232,16.293,17.374,18.475,19.597,20.740,21.854,22.989,24.145,25.270,26.469,27.636,28.825,30.036,31.210,32.407,33.748,35.242,36.321,37.613,38.995,40.338,41.638,43.033,44.312,45.687,47.238,48.669,50.052,51.381,52.814,54.357,55.764,57.282,58.830,60.320,61.929,None,65.057,66.571,68.113,69.586,71.084,72.608,74.161,75.529,77.026,78.549,79.988,81.449,82.935,84.327,85.861,87.419,88.882,90.492,92.003,93.409
GGK,INVEO PORTFÖY ALTIN FON,1.035,7.753,7.818,11.265,10.689,17.775,19.372,21.128,18.694,21.423,24.573,28.957,30.173,32.634,35.845,33.403,33.502,36.195,31.066,34.341,31.971,31.353,39.605,33.860,30.703,33.581,33.780,38.892,39.151,39.866,44.760,49.908,49.933,50.865,50.992,56.739,63.474,61.591,67.095,60.694,68.474,68.285,68.601,71.140,74.533,71.828,72.025,71.010,69.396,74.601,70.782,70.749,66.013,None,77.221,76.489,76.350,84.885,88.257,100.223,104.930,115.300,111.396,108.742,115.869,111.446,113.102,114.631,116.025,116.912,123.333,123.278,123.556,128.972
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,0.991,1.842,2.625,3.669,4.115,4.820,5.621,6.492,7.379,8.249,9.073,9.878,11.012,12.008,13.022,14.054,15.106,16.176,17.267,18.343,19.438,20.554,21.653,22.772,23.912,25.073,26.215,27.377,28.562,29.769,30.954,32.161,33.483,34.972,36.063,37.318,38.646,39.949,41.277,42.578,43.903,45.308,46.740,48.144,49.517,50.975,52.462,53.978,55.399,56.975,58.518,60.091,61.696,None,64.864,66.423,67.939,69.409,70.905,72.428,73.899,75.317,76.839,78.305,79.796,81.227,82.681,84.158,85.659,87.095,88.645,90.128,91.539,92.971
