Fund Code,Fund Name,1 Week Return,2 Week Return,3 Week Return,4 Week Return,5 Week Return,6 Week Return,7 Week Return,8 Week Return,9 Week Return,10 Week Return,11 Week Return,12 Week Return,13 Week Return,14 Week Return,15 Week Return,16 Week Return,17 Week Return,18 Week Return,19 Week Return,20 Week Return,21 Week Return,22 Week Return,23 Week Return,24 Week Return,25 Week Return,26 Week Return
TCF,TEB PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,0.6432,1.6709,2.0034,3.2166,4.1916,5.2648,5.1988,5.8352,6.2163,6.8632,7.8204,8.3207,8.836,9.9379,9.7366,10.1575,11.3392,11.1608,12.5367,13.0259,13.0381,13.7666,15.3218,14.0904,14.1545,15.0282
TMV,TERA PORTFÖY ALGORİTMİK STRATEJİLER SERBEST FON,2.4748,5.6629,8.2126,10.5419,12.5093,14.4548,12.4917,11.7013,11.0073,10.1697,11.102,10.3554,12.603,12.1644,14.6709,13.0048,8.1096,11.7496,13.8239,12.3817,11.615,11.2482,9.9832,12.4394,13.5099,14.3638
TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,0.3889,0.7457,0.4638,1.6439,1.3091,2.4595,3.2158,5.6074,6.382,7.137,7.759,10.6388,10.4244,13.9022,15.3601,14.9762,16.7094,15.3075,16.1718,17.2549,16.7569,17.2067,18.3974,16.9381,15.8661,16.1124
TVN,TRIVE PORTFÖY BİRİNCİ FON SEPETİ FONU,1.1695,3.0907,1.4018,2.9156,2.2829,5.1943,4.8172,8.0597,8.597,9.374,10.46,13.5553,13.7812,17.831,18.6441,15.6668,17.4161,15.7968,16.8236,15.799,16.3588,16.3494,19.6877,19.2599,16.0633,16.3158
THD,TRIVE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FON (HİSSE SENEDİ YOĞUN FON),3.462,8.3045,8.4197,14.3432,16.3615,15.0177,11.2191,13.7921,12.649,13.3026,15.411,16.3823,16.2662,17.3089,20.979,12.1056,7.5969,9.6239,15.0291,16.4893,11.0465,16.1875,20.0616,23.5018,22.3595,30.0152
KID,TRIVE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,0.1446,0.6707,0.4051,1.7389,1.5337,2.6917,3.4915,6.1359,6.91,7.5908,8.3369,10.6099,10.3187,13.5996,15.408,15.104,16.9011,16.3096,19.3962,18.8752,18.831,19.2389,20.7196,18.6788,17.6647,17.9152
KIF,TRIVE PORTFÖY EMTİA SERBEST FON,0.5743,0.7874,-0.4863,-0.6413,-3.2269,2.3188,2.2775,2.4365,1.1782,2.4923,3.4202,4.6708,3.4809,3.9912,2.9803,5.8958,10.0298,8.5568,8.6173,8.1978,8.705,6.1564,6.3401,6.3768,5.845,5.0541
KIA,TRIVE PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,1.4233,3.9999,4.3338,7.4976,7.5698,8.8538,9.0596,12.2091,12.9567,14.6705,16.284,17.1075,17.4471,18.228,19.2596,15.5386,14.8323,16.3901,18.7007,18.4213,15.561,17.9547,21.3005,21.221,20.2543,25.5436
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,0.4681,1.2767,2.0805,2.8694,3.547,4.4692,5.2688,6.058,6.8437,7.6374,8.4131,9.1678,9.9293,10.6923,11.4496,12.2256,12.9995,13.7706,14.5156,15.26,15.9519,16.6511,17.3554,18.0283,18.6973,19.4204
KIB,TRIVE PORTFÖY ROBOTİK TEKNOLOJİLERİ DEĞİŞKEN FON,0.6319,4.651,5.2823,9.5852,7.9809,9.3514,10.2309,13.5273,13.4899,15.2454,19.1076,23.8033,23.9581,31.8504,29.34,24.8476,27.3717,26.5224,29.5423,25.4345,23.9766,24.4403,31.0286,30.82,24.9291,22.8688
