Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks,27 Weeks,28 Weeks,29 Weeks,30 Weeks,31 Weeks,32 Weeks,33 Weeks,34 Weeks,35 Weeks,36 Weeks,37 Weeks,38 Weeks,39 Weeks,40 Weeks,41 Weeks,42 Weeks,43 Weeks,44 Weeks,45 Weeks,46 Weeks,47 Weeks,48 Weeks,49 Weeks,50 Weeks,51 Weeks,52 Weeks,53 Weeks,54 Weeks,55 Weeks,56 Weeks,57 Weeks,58 Weeks,59 Weeks,60 Weeks,61 Weeks,62 Weeks,63 Weeks,64 Weeks,65 Weeks,66 Weeks,67 Weeks,68 Weeks,69 Weeks,70 Weeks,71 Weeks,72 Weeks,73 Weeks,74 Weeks
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.517,-1.791,1.484,3.284,6.203,2.772,-0.304,-0.851,0.335,4.977,1.689,-4.746,-4.990,-1.962,-3.068,-1.275,-0.907,0.729,0.989,2.028,12.298,17.947,10.875,11.111,14.283,11.507,10.910,15.190,17.770,12.414,13.227,12.522,11.339,10.319,7.565,-3.407,-1.798,4.093,3.641,2.607,3.687,1.381,1.330,4.751,3.702,4.401,5.165,7.672,5.094,6.332,9.718,12.432,13.127,20.541,20.923,21.728,18.433,18.096,19.417,8.135,7.730,12.066,6.969,10.640,8.036,6.525,6.516,-0.893,-2.187,-5.150,-3.691,-0.831,1.469,2.742
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,0.553,0.835,0.672,1.955,2.468,2.642,2.693,2.868,3.448,3.769,4.272,4.411,4.779,5.428,6.363,6.909,7.622,8.301,8.969,9.877,9.684,10.558,11.632,12.457,12.640,13.370,14.144,15.126,16.256,16.763,17.925,19.361,17.918,17.970,17.489,21.420,22.125,22.277,22.879,23.772,24.662,25.523,26.524,27.593,27.654,27.758,27.933,28.442,29.106,29.850,30.501,31.003,31.482,32.169,32.524,32.243,32.234,32.206,32.150,32.449,33.317,34.138,34.398,34.388,35.077,37.014,38.340,39.839,40.321,39.933,41.466,43.482,42.391,43.592
EBD,GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON,0.592,-1.734,-0.585,1.796,1.190,-0.585,-0.585,1.190,3.030,5.590,4.294,4.938,1.190,-0.585,-1.734,0.000,-1.163,0.592,1.190,1.190,3.659,4.294,3.659,4.294,5.590,5.590,5.590,7.595,9.677,8.974,9.677,9.677,9.677,9.677,8.974,7.595,8.974,13.333,13.333,12.583,14.094,13.333,14.094,14.865,14.865,14.865,14.865,16.438,16.438,17.241,18.056,20.567,20.567,23.188,25.000,25.000,25.000,25.926,27.820,25.000,25.926,27.820,27.820,28.788,28.788,28.788,29.771,26.866,26.866,26.866,26.866,27.820,29.771,30.769
ZP8,ZİRAAT PORTFÖY KEHRİBAR PARA PİYASASI KATILIM SERBEST (TL) FON,0.721,1.453,2.195,2.948,3.712,4.488,5.276,6.075,6.887,7.749,8.587,9.476,10.341,11.220,12.112,13.019,13.984,14.921,15.919,16.933,17.965,18.970,20.039,21.271,22.235,23.315,24.463,25.531,26.617,27.722,28.793,29.882,30.877,31.888,32.973,33.958,35.018,36.094,37.187,38.299,39.428,40.576,41.744,42.930,44.205,45.433,46.753,48.096,49.392,50.785,52.129,53.497,54.889,56.228,57.590,58.976,60.386,61.822,63.457,64.861,66.288,67.832,69.405,71.198,72.544,74.108,75.700,77.323,78.871,80.340,81.942,83.463,85.120,86.809
TEJ,AZİMUT PORTFÖY TEKNOLOJİ FON SEPETİ FONU,-0.327,-1.931,-3.178,1.499,1.162,-0.164,0.883,3.864,4.517,7.214,10.386,8.939,12.700,10.721,11.804,12.492,14.465,15.696,18.012,19.712,23.181,27.922,26.944,30.478,32.656,33.236,33.626,40.184,48.016,49.591,55.442,56.106,54.392,48.016,46.123,52.080,49.469,44.506,40.615,44.506,45.079,45.890,42.257,46.240,47.538,48.618,45.890,50.329,49.591,48.618,54.392,54.915,53.484,52.588,58.131,56.239,56.106,56.106,60.351,56.106,61.057,66.182,69.103,62.489,59.095,64.833,79.921,66.485,70.841,61.484,55.047,62.201,62.923,59.511
GVA,GARANTİ PORTFÖY ELEKTRİKLİ VE OTONOM ARAÇLAR DEĞİŞKEN FON,-2.155,-2.328,-2.126,1.098,3.143,1.813,1.594,4.214,5.374,9.481,10.799,8.053,10.836,11.959,14.040,15.189,14.158,16.444,16.772,17.768,24.306,28.450,25.435,27.168,28.053,28.201,27.022,34.825,38.141,37.796,44.590,44.843,38.603,33.629,30.678,30.063,29.910,30.678,27.609,30.936,31.717,30.063,29.201,32.190,33.039,33.521,32.507,35.100,31.717,33.575,37.112,37.510,36.210,38.083,41.141,38.603,39.478,39.302,42.415,37.739,40.841,46.572,43.525,41.503,40.722,43.712,47.683,38.545,39.185,30.165,29.504,32.084,35.487,34.715
PFO,PHİLLİP PORTFÖY FON SEPETİ FONU,2.204,0.108,2.035,4.921,7.412,5.218,1.923,1.588,3.516,7.599,7.724,3.113,3.863,6.121,5.099,6.609,6.182,8.226,7.661,9.763,18.606,22.281,19.910,21.879,25.000,23.914,26.881,29.630,31.747,28.019,30.818,30.358,27.843,26.535,22.929,12.492,14.224,18.228,18.910,20.065,20.847,19.600,19.987,23.502,23.832,25.848,27.316,30.818,28.730,28.999,30.818,33.453,35.204,40.424,39.894,39.264,37.611,38.227,39.579,32.217,34.518,38.330,36.297,37.509,37.103,39.264,39.894,34.615,35.106,32.500,33.549,34.713,37.001,38.021
PPB,PHİLLİP PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),3.730,-1.621,3.138,8.253,14.027,7.609,-0.395,-3.111,-2.474,2.883,-0.060,-8.192,-8.485,-4.589,-7.662,-5.328,-5.446,-4.160,-4.906,-1.911,11.400,18.529,11.117,12.227,17.193,13.297,15.324,21.882,24.342,17.011,18.987,18.209,13.700,10.865,7.234,-8.726,-5.970,0.641,0.971,0.824,0.824,-3.246,-3.750,0.362,-0.633,-0.371,1.328,5.788,3.215,4.407,7.539,10.219,12.136,24.547,23.640,23.182,18.817,18.970,21.154,5.775,6.384,11.849,5.734,10.424,8.352,10.160,9.105,-1.188,-2.680,-7.011,-5.317,-4.556,-2.474,-2.268
TE3,TEB PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.587,-0.219,1.199,2.543,3.477,3.455,2.884,2.910,4.434,7.314,7.148,6.144,7.018,9.137,9.428,11.107,10.782,13.049,14.144,15.306,19.943,21.642,21.288,22.745,24.456,24.451,25.184,26.964,29.058,28.233,29.847,30.998,30.633,31.810,31.554,29.339,30.405,31.335,32.296,33.216,34.174,35.296,36.374,38.003,39.051,40.068,41.114,41.801,42.943,44.118,45.487,47.313,48.402,50.054,50.886,52.204,53.181,54.408,55.190,55.838,56.770,58.339,59.153,60.531,61.555,63.314,64.579,65.590,66.499,67.332,68.718,70.427,72.294,73.640
GBL,AZİMUT PYŞ KISA VADELİ BORÇLANMA ARAÇLARI FONU,0.769,1.393,2.184,2.987,3.803,4.466,5.305,6.159,7.026,7.908,8.624,9.532,10.455,11.205,12.158,12.931,13.715,14.912,15.724,16.756,17.806,18.875,19.744,21.072,21.974,23.120,24.053,25.239,26.448,27.432,28.684,29.703,31.000,32.056,32.860,33.673,34.774,35.892,37.029,37.895,39.066,40.257,41.775,43.013,44.273,45.556,46.861,48.190,49.543,50.922,51.972,53.396,54.846,56.325,57.452,58.981,60.539,61.728,63.342,64.573,66.244,67.519,69.251,71.018,72.368,74.202,75.603,77.027,78.962,80.441,81.944,83.989,85.552,87.143
