Fund,Full Fund Name,1 Weeks,2 Weeks,3 Weeks,4 Weeks,5 Weeks,6 Weeks,7 Weeks,8 Weeks,9 Weeks,10 Weeks,11 Weeks,12 Weeks,13 Weeks,14 Weeks,15 Weeks,16 Weeks,17 Weeks,18 Weeks,19 Weeks,20 Weeks,21 Weeks,22 Weeks,23 Weeks,24 Weeks,25 Weeks,26 Weeks
AES,AK ASSET MANAGEMENT OIL FOREIGN ETF FUND BASKET FUND,1.299,6.849,6.849,6.849,6.849,8.333,9.859,13.043,1.299,8.333,8.333,6.849,1.299,0.000,-1.266,4.000,6.849,-2.500,-1.266,0.000,2.632,8.333,13.043,9.859,6.849,11.429
AFS,AK PORTFÖY HEALTH SECTOR FOREIGN SHARE FUND,0.483,1.463,-1.887,-0.952,2.463,6.122,5.051,10.053,12.432,13.043,15.556,18.857,21.637,24.551,22.353,20.231,20.930,19.540,18.182,16.201,18.182,16.201,14.917,16.201,14.286,16.201
TAR,AK PORTFÖY TARIM VE GIDA TEKNOLOJİLERİ DEĞİŞKEN FON,3.299,5.413,4.997,4.243,4.447,5.482,6.467,8.787,7.905,8.271,8.271,9.911,10.826,11.835,7.542,5.902,5.972,5.552,4.039,2.306,0.948,0.884,4.928,3.433,2.437,3.299
ICZ,AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),7.431,14.425,18.589,23.104,33.333,22.961,20.925,16.855,13.081,14.178,24.845,31.471,34.306,39.941,36.689,28.715,22.499,34.221,47.442,52.101,47.134,49.313,66.575,63.363,78.961,72.195
TGR,AK PORTFÖY TURİZM VE SEYAHAT SEKTÖRÜ DEĞİŞKEN FON,1.455,5.795,4.100,8.428,6.707,6.411,6.707,10.458,14.756,12.831,13.735,18.553,24.359,25.829,22.570,16.606,15.796,16.393,17.140,14.928,14.209,13.634,14.550,11.227,8.673,12.500
AK2,AK ASSET MANAGEMENT LONG-TERM BONDS FUND,0.318,0.639,0.318,1.942,-1.254,-1.254,0.639,2.273,9.756,11.307,12.100,10.526,10.915,8.621,8.997,8.997,9.756,8.997,7.877,8.247,2.273,-0.631,-0.316,-1.563,-2.778,-3.077
ODV,AK ASSET MANAGEMENT THIRD FUND BASKET MUTUAL FUND,1.974,2.920,3.620,7.280,8.563,7.588,8.171,9.024,9.756,10.743,12.757,13.354,15.288,16.332,16.197,14.335,15.957,16.771,17.842,17.396,16.877,17.966,18.839,18.105,17.780,20.158
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,0.851,1.669,2.451,3.295,4.254,5.076,5.859,6.707,7.514,8.278,9.054,9.784,10.524,11.273,12.034,12.804,13.586,14.378,15.057,15.807,16.503,17.143,17.790,18.444,19.106,19.708
AFT,AK ASSET MANAGEMENT NEW TECHNOLOGIES FOREIGN EQUITY FUND,-2.186,3.170,3.170,6.548,3.468,6.231,8.157,11.526,10.154,10.494,13.291,16.993,21.356,27.857,23.024,20.539,25.614,27.402,26.950,20.946,23.024,21.356,22.603,25.614,20.946,20.946
ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,0.829,1.626,2.434,3.354,4.141,4.940,5.803,6.576,7.360,8.103,8.856,9.619,10.394,11.292,12.090,12.900,13.721,14.435,15.219,15.890,16.569,17.319,18.015,18.655,19.367,20.088
MJL,AKTİF PORTFÖY AKTİF SERBEST (DÖVİZ-AVRO) FON,-0.537,-0.012,-0.317,0.690,0.360,3.049,3.933,5.641,4.341,4.727,5.912,8.117,9.663,11.301,11.886,12.161,14.167,14.729,14.995,14.564,15.304,14.148,12.703,12.573,11.562,12.703
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,2.021,1.280,0.914,1.261,3.556,6.362,7.789,7.921,8.919,11.602,12.886,14.249,13.079,13.030,15.923,20.564,25.921,24.209,23.428,24.559,24.413,23.601,21.281,22.913,23.227,22.742
MMH,AKTİF PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),5.149,6.738,7.510,13.484,15.122,9.994,9.769,7.954,8.607,10.416,12.551,12.786,14.999,19.033,18.395,11.229,8.484,11.502,14.876,12.654,10.785,16.255,22.120,19.429,23.467,28.340
MJB,AKTİF PORTFÖY BİRİNCİ FON SEPETİ FONU,0.000,2.374,2.311,4.108,3.010,4.964,5.969,9.139,8.852,10.226,12.011,15.238,18.741,21.746,18.741,16.943,22.149,20.333,20.859,17.564,18.276,17.564,18.911,19.683,17.397,19.339
ONE,AKTİF PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.916,7.040,8.611,13.497,15.987,11.111,9.792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
ESG,AKTİF PORTFÖY ESG SÜRDÜRÜLEBİLİRLİK SERBEST FON,2.295,3.766,4.252,5.918,6.424,7.074,7.403,7.450,7.591,8.544,9.857,10.450,11.556,12.891,11.607,10.252,10.700,12.736,14.312,13.729,13.309,15.660,18.112,18.112,18.798,20.491
MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,1.301,3.220,1.907,2.598,-1.340,-0.366,0.516,2.022,-2.365,3.612,2.908,8.913,8.652,11.635,12.464,16.953,22.858,14.930,13.874,17.508,15.368,9.000,8.956,15.320,15.125,11.864
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),6.157,8.133,8.773,16.526,18.592,15.008,16.649,16.097,16.158,17.082,20.733,20.865,24.619,29.215,27.499,19.946,15.128,19.362,23.572,22.271,18.912,27.572,34.902,41.474,48.920,55.972
